"","Week.ended","lwr","50%","upr","fit"
"556",2020-08-28,11837.2138923053,12375.6297009623,12870.2870996752,12362.0708955728
"557",2020-09-04,12287.6854858296,12844.1202611851,13364.1912186809,12833.3173787237
"558",2020-09-11,12720.40229454,13307.2362325652,13852.920209418,13297.5297591884
"559",2020-09-18,13171.993679748,13774.792302808,14344.2277024615,13763.4662876496
"560",2020-09-25,13624.8684300075,14246.3256476632,14847.4844191303,14232.6805702465
"561",2020-10-02,14097.0291245042,14734.9772368096,15357.7109608502,14723.0175830175
"562",2020-10-09,14545.2170001511,15215.2342760799,15860.3975701133,15198.6764008519
"563",2020-10-16,14992.5791524503,15681.0773243073,16357.2646633571,15665.6930722248
"564",2020-10-23,15451.8606669517,16174.2503392599,16871.0328458866,16156.3950632245
"565",2020-10-30,15916.8046810639,16670.9637268743,17398.5716621267,16652.420728993
"566",2020-11-06,16406.8077898937,17172.4722907415,17930.8474620684,17152.876121364
"567",2020-11-13,16870.2815733771,17661.9198828684,18441.3180060973,17640.4486471695
"568",2020-11-20,17354.6915063794,18165.8974293137,18968.4527984543,18142.1135971131
"569",2020-11-27,17822.157321277,18661.0515212004,19487.3444273877,18639.6633054271
"570",2020-12-04,18307.1235880698,19176.9780597619,20027.0915756696,19153.1876478416
"571",2020-12-11,18809.6671534255,19703.8078952328,20583.0181417893,19686.0113150146
"572",2020-12-18,19272.1719423931,20190.7076053531,21104.4692095162,20172.1988593402
"573",2020-12-25,19747.0083361875,20669.0239759655,21616.1104378142,20655.1826644894
"574",2021-01-01,20259.2289304512,21217.1683578706,22182.65758367,21199.7292425982
"575",2021-01-08,20792.6264625404,21783.3144630518,22777.7117358416,21766.9567058103
"576",2021-01-15,21311.6895403549,22320.6924572791,23335.987701928,22306.8337618537
"577",2021-01-22,21843.2426207828,22859.8155189614,23921.1259175738,22854.3537370177
"578",2021-01-29,22322.3502531512,23384.9549973411,24466.1602366335,23374.5686924511
"579",2021-02-05,22814.7985508624,23916.1652860674,25014.123626043,23902.9733853596
"580",2021-02-12,23304.2622202467,24438.4434250642,25558.5796005836,24426.1225387003
"581",2021-02-19,23826.9675037302,24974.8884675321,26118.0053344482,24959.5453779821
"582",2021-02-26,24311.9486352888,25489.2343467188,26653.4330755128,25473.9358261761
"583",2021-03-05,24807.8607096698,26019.9606747184,27215.1717626218,25997.6339810706
"584",2021-03-12,25290.4247602472,26529.6084520693,27765.2216039569,26510.7869605015
"585",2021-03-19,25724.9572385633,27002.8696010027,28264.9685368991,26986.8942032774
"586",2021-03-26,26176.3686059296,27476.5957329125,28759.7186918749,27462.7822441439
"587",2021-04-02,26666.4662025987,27979.2948534563,29288.9430153115,27964.2335852396
"588",2021-04-09,27118.2048782211,28468.4309272927,29801.986734036,28455.0310005505
"589",2021-04-16,27591.9835760494,28960.5891930229,30331.2764232716,28945.8339571105
"590",2021-04-23,28063.0137864133,29456.7812284863,30858.571143955,29444.8619879298
"591",2021-04-30,28487.5889265405,29921.2027999886,31338.2102842375,29909.7299990227
"592",2021-05-07,28951.043846567,30424.2214988091,31864.1605896132,30408.6440380261
"593",2021-05-14,29416.8209298615,30910.9614086186,32380.8616016682,30896.5864790624
"594",2021-05-21,29845.6799563404,31367.8984400517,32885.143432086,31357.9041829716
"595",2021-05-28,30259.7525740431,31818.968659798,33370.7868645123,31808.8064478993
"596",2021-06-04,30716.2652451333,32304.6822750095,33899.479492299,32291.4007273455
"597",2021-06-11,31151.7154689067,32779.1613099431,34409.4242504535,32768.8077897054
"598",2021-06-18,31567.3286181219,33237.7539067765,34907.3509384574,33229.0331556644
"599",2021-06-25,32016.5445996439,33717.0815182876,35396.7726980187,33701.6491192327
"600",2021-07-02,32462.4142793865,34179.7699400948,35887.4014916861,34165.3138963657
