"","Week.ended","signal","Female.Under.1.year","fit","upr","lwr"
"440",2018-06-08,23.7047268734647,14,NA,NA,NA
"441",2018-06-15,22.5326293370302,27,NA,NA,NA
"442",2018-06-22,22.3532134419559,28,NA,NA,NA
"443",2018-06-29,19.5645470923502,20,NA,NA,NA
"444",2018-07-06,22.675167392367,24,NA,NA,NA
"445",2018-07-13,20.783617377697,23,NA,NA,NA
"446",2018-07-20,20.4884365286646,17,NA,NA,NA
"447",2018-07-27,21.4989703676525,23,NA,NA,NA
"448",2018-08-03,24.0070452494579,29,NA,NA,NA
"449",2018-08-10,24.6069407711219,29,NA,NA,NA
"450",2018-08-17,25.0996396696743,26,NA,NA,NA
"451",2018-08-24,18.9908636156654,14,NA,NA,NA
"452",2018-08-31,20.5902634961412,21,NA,NA,NA
"453",2018-09-07,22.488992154346,18,NA,NA,NA
"454",2018-09-14,22.8950745910919,26,NA,NA,NA
"455",2018-09-21,22.7960706001812,27,NA,NA,NA
"456",2018-09-28,24.2901798149198,21,NA,NA,NA
"457",2018-10-05,27.2896789374347,24,NA,NA,NA
"458",2018-10-12,21.8945671471978,24,NA,NA,NA
"459",2018-10-19,22.2960062783256,17,NA,NA,NA
"460",2018-10-26,24.5061212226394,31,NA,NA,NA
"461",2018-11-02,20.5055980226304,19,NA,NA,NA
"462",2018-11-09,23.7075412636509,20,NA,NA,NA
"463",2018-11-16,22.715558125753,23,NA,NA,NA
"464",2018-11-23,23.8231090207787,27,NA,NA,NA
"465",2018-11-30,22.025455595568,26,NA,NA,NA
"466",2018-12-07,21.2212911499883,21,NA,NA,NA
"467",2018-12-14,24.2174892192128,25,NA,NA,NA
"468",2018-12-21,19.8624053946867,17,NA,NA,NA
"469",2018-12-28,17.6663809450222,13.5,NA,NA,NA
"470",2019-01-04,19.2637206307621,13.5,NA,NA,NA
"471",2019-01-11,23.734138693765,30,NA,NA,NA
"472",2019-01-18,21.6488376007212,20,NA,NA,NA
"473",2019-01-25,20.7480557827808,16,NA,NA,NA
"474",2019-02-01,23.2186884999523,19,NA,NA,NA
"475",2019-02-08,21.8780503713593,18,NA,NA,NA
"476",2019-02-15,20.9983106430562,22,NA,NA,NA
"477",2019-02-22,19.8442026942483,29,NA,NA,NA
"478",2019-03-01,18.9478231713357,28,NA,NA,NA
"479",2019-03-08,17.9219181905387,13,NA,NA,NA
"480",2019-03-15,23.3278634683573,27,NA,NA,NA
