"","Week.ended","2.5%","50%","97.5%","fit"
"567",2020-11-13,24920.6216989203,26097.6063229348,27302.5839357859,26090.9002073834
"568",2020-11-20,25606.077095116,26812.0281568871,28061.277120594,26814.1435450058
"569",2020-11-27,26324.6335923487,27566.8739374472,28866.1879382004,27568.9933421523
"570",2020-12-04,27037.8716236953,28313.6560369919,29640.209794356,28316.0079077221
"571",2020-12-11,27764.7203672523,29084.1568560723,30464.9199660026,29091.3482248686
"572",2020-12-18,28378.6808916928,29740.1684850673,31149.7396414496,29745.9881014673
"573",2020-12-25,29007.7444461229,30379.8186488585,31824.1060781565,30391.5288656902
"574",2021-01-01,29788.4556103621,31207.0205189241,32697.8711552015,31213.2940527952
"575",2021-01-08,30571.4172136324,32022.4841719146,33549.6024807903,32042.75061376
"576",2021-01-15,31339.9908358002,32844.8771496813,34417.0488747469,32860.3199139647
"577",2021-01-22,32091.8081157404,33643.2994457471,35238.4732862719,33655.9913896033
"578",2021-01-29,32847.9767466689,34426.5335245659,36084.7819103608,34433.9650820966
"579",2021-02-05,33579.5897148514,35201.6038701456,36905.8891168286,35215.898856598
"580",2021-02-12,34301.5573893349,35967.784625616,37696.469053533,35979.4294606615
"581",2021-02-19,35030.5953892919,36732.9830933256,38493.1774037136,36749.9062240407
"582",2021-02-26,35731.4034676686,37478.0816664056,39274.5834539733,37490.7122752989
"583",2021-03-05,36468.4092087395,38262.720667783,40097.2486056235,38266.12109437
"584",2021-03-12,37169.179765107,39023.8535656186,40919.0241090902,39028.8727038634
"585",2021-03-19,37847.9356398573,39754.853280016,41672.3791143034,39750.6720454737
"586",2021-03-26,38538.8849982476,40445.855801416,42418.9770198711,40451.4980828734
"587",2021-04-02,39223.270918779,41184.0599426298,43217.8290053656,41188.2460959937
"588",2021-04-09,39934.5875775572,41936.7128596739,44010.9539545916,41932.9747000398
"589",2021-04-16,40624.1085229098,42643.9866528,44766.0987374644,42650.6477324087
"590",2021-04-23,41320.7403531882,43401.6974440806,45565.1083577283,43394.8074936038
"591",2021-04-30,41961.5793645357,44097.0370952332,46277.9840758241,44093.8071710386
"592",2021-05-07,42617.3130381435,44795.6188365616,47041.6512728309,44799.8173170003
"593",2021-05-14,43298.1374613616,45536.8430475372,47791.0024625803,45538.903509908
"594",2021-05-21,43944.176800362,46214.741449209,48499.6572788735,46216.0147750071
"595",2021-05-28,44530.8131496939,46862.4437056553,49175.5556001933,46862.6463417176
"596",2021-06-04,45205.1565274805,47586.0316066188,49945.4479195136,47586.5919731011
"597",2021-06-11,45854.8760515807,48282.2342707767,50677.0586871079,48281.0327353975
"598",2021-06-18,46494.6766462057,48994.6722854349,51420.9756029461,48982.2528604028
"599",2021-06-25,47149.8309752205,49684.195318211,52159.3843211043,49677.938197523
"600",2021-07-02,47792.5685434019,50387.8860316368,52900.0662517768,50372.2560771338
"601",2021-07-09,48434.6144565759,51083.700939213,53642.841592641,51070.7899229703
"602",2021-07-16,49075.2575292153,51768.2131080583,54366.487499268,51744.3856949687
"603",2021-07-23,49719.3134769991,52448.4626189481,55098.8360069987,52427.6716175033
"604",2021-07-30,50359.4357418562,53144.4804531611,55815.9252358498,53112.1214646101
"605",2021-08-06,51025.4692222657,53829.1481446036,56555.9719824314,53809.2794883386
"606",2021-08-13,51650.6479593712,54514.2570147078,57283.070582498,54493.3837126484
"607",2021-08-20,52236.9099830438,55144.526776698,57990.207156163,55129.0913515415
"608",2021-08-27,52846.1318910848,55800.2088277253,58664.4916811128,55774.7135444614
"609",2021-09-03,53476.6644750127,56502.9050481669,59441.8451247706,56481.789457955
"610",2021-09-10,54133.5159761895,57192.8399435801,60201.1405645618,57178.1997460047
"611",2021-09-17,54782.8794374131,57909.8471518338,60884.7531542622,57875.2966047623
"612",2021-09-24,55381.8411159848,58592.0765094703,61614.9590519739,58556.7462760311
"613",2021-10-01,56007.4053689025,59297.9905551768,62323.8864326412,59261.8813444119
"614",2021-10-08,56646.1492433148,59998.7431979644,63056.6523200193,59958.8612136329
"615",2021-10-15,57315.0289665604,60710.1070008886,63802.8700543575,60669.9629470507
"616",2021-10-22,57972.1226243839,61405.3464218003,64564.3612294313,61373.0306032015
"617",2021-10-29,58641.4335959836,62102.6576644503,65285.6416329435,62079.0448752117
"618",2021-11-05,59320.473488114,62839.3406575732,66104.6016732439,62807.418594319
"619",2021-11-12,59988.2841915655,63552.611920372,66886.4439918931,63530.1905457383
"620",2021-11-19,60643.267758392,64280.5343654848,67663.3261500379,64251.6968485047
"621",2021-11-26,61334.8564366412,65027.3980517302,68484.5035121133,65004.6821452791
"622",2021-12-03,62007.6887283925,65769.8802758828,69271.5375812144,65749.684997422
"623",2021-12-10,62763.4081014385,66532.234728341,70093.6417224268,66523.0338239944
"624",2021-12-17,63347.0388521413,67199.7943484773,70817.7169762939,67175.7361150037
"625",2021-12-24,63946.9881679986,67840.5175830864,71509.6891065932,67819.5762370348
"626",2021-12-31,64696.8352966473,68652.9026083495,72328.6838246608,68639.5208410846
"627",2022-01-07,65473.9317784534,69497.955078101,73210.3316917017,69467.2250986073
"628",2022-01-14,66211.8142011805,70320.900756423,74070.0230115731,70282.747413599
"629",2022-01-21,66946.6096983088,71127.3737451927,74928.6213459625,71076.3914054453
"630",2022-01-28,67666.5162942946,71891.2611391677,75739.0304166286,71852.312098988
"631",2022-02-04,68425.3697169675,72670.8071760983,76595.3493704697,72632.1556894623
"632",2022-02-11,69151.279760903,73428.1317973056,77406.9642018592,73393.6191137232
"633",2022-02-18,69889.1096881793,74198.6058220392,78238.458651691,74161.9728697092
"634",2022-02-25,70586.5830652554,74942.9853102256,79046.0364461111,74900.4433493615
