"","Week.ended","lwr","50%","upr","fit"
"608",2021-08-27,68126.2106634525,69156.7741429917,70274.1220865905,69168.2309449905
"609",2021-09-03,68969.0772544664,70008.9373631158,71138.1101990276,70025.0324856772
"610",2021-09-10,69780.4481627478,70852.2256842584,71978.790310749,70857.2898638042
"611",2021-09-17,70611.9736762531,71674.9863719645,72864.3804440096,71690.2652407113
"612",2021-09-24,71457.4689177761,72525.6509968513,73736.6955264233,72539.7541689593
"613",2021-10-01,72286.8808553381,73398.8671683194,74605.7317271836,73404.8151357805
"614",2021-10-08,73131.5148210728,74262.7121938302,75471.9128133157,74272.4359700407
"615",2021-10-15,73996.989680722,75146.5785963734,76362.7882534735,75155.7237306527
"616",2021-10-22,74865.7094964591,76030.7418244865,77258.9729986073,76043.8077477095
"617",2021-10-29,75787.8569928579,76934.4393765153,78197.7643972201,76940.8212570979
"618",2021-11-05,76675.4354311076,77832.8207815078,79112.6700419802,77844.5840734473
"619",2021-11-12,77589.9096903491,78763.3103547188,80042.2083485353,78772.9838322332
"620",2021-11-19,78472.0519591667,79674.6989469374,80962.6357177781,79678.1431960944
"621",2021-11-26,79387.2752104943,80604.4874097098,81899.6199605681,80612.8681446921
"622",2021-12-03,80340.6653595763,81579.3077792083,82906.8521489305,81579.7052930949
"623",2021-12-10,81343.0276064484,82592.3621255717,83933.9633051073,82586.9784156887
"624",2021-12-17,82293.2638749313,83555.2802680251,84917.8769114493,83555.4325129293
"625",2021-12-24,83239.3197850456,84507.0666086007,85906.0391687912,84512.8116154334
"626",2021-12-31,84310.0690878384,85582.9388087739,86981.7455068858,85583.0552299005
"627",2022-01-07,85421.4675468411,86706.2817125458,88133.774855456,86720.9708166281
"628",2022-01-14,86506.9946713442,87810.6996115634,89240.0113797116,87815.5119043045
"629",2022-01-21,87553.1086997295,88867.5833270908,90317.6994345113,88874.7070471393
"630",2022-01-28,88576.1379309788,89918.6353600729,91370.9359320331,89910.8604265703
"631",2022-02-04,89580.179802782,90924.6199760144,92375.8462231688,90928.2497317793
"632",2022-02-11,90575.35171765,91935.8483534268,93403.7334653897,91939.2121093388
"633",2022-02-18,91534.8642936185,92932.1730567379,94413.2180204077,92931.2279724012
"634",2022-02-25,92481.3569761227,93901.5013260243,95407.6880431206,93907.3198024714
