"","Week.ended","2.5%","50%","97.5%","fit"
"558",2020-09-11,67464.0839605932,75430.4223864385,82773.7170657926,75367.2266346679
"559",2020-09-18,69690.2551706222,78040.1578865152,85688.7841376216,77974.9807184919
"560",2020-09-25,71961.1804614067,80695.7487976798,88737.8708649409,80627.6251174962
"561",2020-10-02,74256.772204671,83390.2332223436,91802.7541300979,83296.633004312
"562",2020-10-09,76549.8956812524,86102.715498557,94919.6450504007,86035.1717117799
"563",2020-10-16,79025.6308715877,88803.5473860511,98108.9810491147,88803.8472241742
"564",2020-10-23,81305.669527321,91543.1445656876,101239.840383772,91527.916501865
"565",2020-10-30,83751.2297562385,94346.7925548149,104310.859405109,94333.0276198642
"566",2020-11-06,86106.4271005824,97232.4355150362,107561.490681627,97189.9247650973
"567",2020-11-13,88756.7907619004,100128.136302917,110722.685779874,100026.997981019
"568",2020-11-20,91051.2325652174,102965.011029847,113938.184584668,102881.406522427
"569",2020-11-27,93578.3814875606,105856.191742274,117315.121955866,105842.422011101
"570",2020-12-04,96324.4239301114,108878.020812701,120837.028396877,108881.458978519
"571",2020-12-11,99002.7662604957,112010.183249561,124461.693920182,112026.792637765
"572",2020-12-18,101359.68483963,114700.316502651,127504.452668975,114764.387654091
"573",2020-12-25,103867.181831981,117532.412855496,130809.400599501,117675.555397965
"574",2021-01-01,107214.95096588,121177.50496177,134935.672723172,121302.183138692
"575",2021-01-08,110308.262115035,124793.834369532,139081.132816896,124847.097995552
"576",2021-01-15,113224.705703969,128163.950360699,142902.58915075,128247.686689516
"577",2021-01-22,116173.502347555,131440.442374487,146628.395492787,131503.037564559
"578",2021-01-29,118866.408796762,134564.145556737,150156.71560068,134671.182888583
"579",2021-02-05,121709.923269857,137742.782384871,153716.295394702,137810.101076202
"580",2021-02-12,124206.066048616,140891.679936303,157238.386503207,140929.185229254
"581",2021-02-19,126806.908652908,143957.665970273,160803.559298909,144024.296580709
"582",2021-02-26,129378.434753606,146930.987736048,164285.456521426,147053.797688252
"583",2021-03-05,131964.762607403,150067.102819904,167875.118806565,150129.117820004
"584",2021-03-12,134649.720836537,153056.856173027,171350.926491588,153146.271896261
"585",2021-03-19,137089.837493332,155892.64762532,174542.277366191,155955.181447334
"586",2021-03-26,139192.175814361,158800.008393208,177821.035147574,158770.702298672
"587",2021-04-02,141577.635729087,161777.193655914,181173.678546287,161717.609772095
"588",2021-04-09,143937.061626811,164731.909974481,184570.683694642,164640.52824688
"589",2021-04-16,146270.07761693,167553.028364581,187896.35018407,167479.364152137
"590",2021-04-23,148626.399784842,170473.670524822,191332.108964334,170355.471988619
"591",2021-04-30,150744.011849242,173223.161424729,194590.642557653,173077.587286762
"592",2021-05-07,153005.852366299,176049.220647678,197969.29540705,175830.413778268
"593",2021-05-14,155243.956326041,178787.118555541,201290.558411371,178615.717036882
"594",2021-05-21,157141.845542937,181395.899201036,204282.637873667,181172.715749724
"595",2021-05-28,159366.40442411,183957.624349034,207235.907450801,183663.438478975
"596",2021-06-04,161557.325433107,186651.326206828,210492.570327294,186402.247259982
"597",2021-06-11,163497.27928641,189291.305877097,213454.957469915,189002.852854272
"598",2021-06-18,165475.980995802,191845.790728513,216633.501688553,191576.568504966
"599",2021-06-25,167667.883823462,194438.976879608,219889.388685369,194139.08181824
"600",2021-07-02,169828.084285929,196971.237569858,223096.173020883,196685.906675881
"601",2021-07-09,171815.879453612,199655.919705477,226256.677314249,199247.59943647
"602",2021-07-16,173632.446054144,202094.1462236,229374.089379283,201756.907650035
"603",2021-07-23,175496.132821638,204660.04250598,232481.294996116,204277.147247581
"604",2021-07-30,177338.419805763,207230.209535347,235510.490290045,206812.903832524
"605",2021-08-06,179258.129952581,209716.693358962,238410.816763121,209335.111498317
"606",2021-08-13,181110.850964106,212242.652941529,241315.159379527,211871.022461411
"607",2021-08-20,183049.695494165,214722.57494546,244247.439753705,214311.434583221
"608",2021-08-27,185084.770336755,217186.239543516,247048.397340459,216754.069210608
"609",2021-09-03,187117.006695491,219857.446301234,250286.913177602,219318.755127066
"610",2021-09-10,189147.460618504,222387.186248469,253330.3213199,221896.730420736
"611",2021-09-17,191180.833565131,224974.55650021,256614.32761143,224494.636259726
"612",2021-09-24,193114.335605604,227616.858636115,259837.338303081,227138.424402043
"613",2021-10-01,195170.262350092,230183.981134436,262964.707220637,229797.597230259
"614",2021-10-08,197322.742104627,232971.479263267,266100.601924619,232526.798270165
"615",2021-10-15,199501.248612267,235642.576499287,269293.094610208,235288.683393951
"616",2021-10-22,201602.164949005,238399.729742377,272499.76433742,238002.687684405
"617",2021-10-29,204000.688669295,241235.098220886,275895.748639038,240799.151633189
"618",2021-11-05,206320.449798302,244044.450464751,279517.596662318,243648.434546579
"619",2021-11-12,208443.72067201,246807.813250554,282721.071247141,246475.858287704
"620",2021-11-19,210592.175520894,249721.077062636,286097.309252141,249322.901515341
"621",2021-11-26,212796.06322652,252718.661390181,289681.327231533,252275.684068152
"622",2021-12-03,215192.942306548,255786.274208076,293251.904775717,255305.127237068
"623",2021-12-10,217426.522853034,258954.94947425,297126.745360218,258441.689611425
"624",2021-12-17,219483.429318823,261742.904314073,300464.448618968,261173.008570741
"625",2021-12-24,221706.288372338,264662.343297732,303977.630988593,264079.333819856
"626",2021-12-31,224810.416222758,268260.119255499,308184.844827886,267700.02073622
"627",2022-01-07,228048.594221885,271890.572236586,312291.740269572,271239.139655761
"628",2022-01-14,230734.009309561,275266.933553193,316361.907437609,274633.854185934
"629",2022-01-21,233254.133158185,278497.179810785,319875.113291024,277881.704246794
"630",2022-01-28,235682.650301293,281608.917170136,323491.102928131,281044.18465725
"631",2022-02-04,238276.216449546,284694.488688814,327158.119126306,284178.128577522
"632",2022-02-11,240792.023446803,287813.483375322,330814.146375436,287293.787858369
"633",2022-02-18,243318.796134746,291037.428229403,334430.355193523,290386.418652415
"634",2022-02-25,245861.187552952,294104.642265519,338028.635365444,293415.02697966
