"","Week.ended","signal","Male.Under.1.year","fit","upr","lwr"
"304",2015-10-30,30.1890091019455,23,NA,NA,NA
"305",2015-11-06,29.4936243465799,22,NA,NA,NA
"306",2015-11-13,31.0040273354144,34,NA,NA,NA
"307",2015-11-20,29.5121163673958,35,NA,NA,NA
"308",2015-11-27,28.5159668006432,19,NA,NA,NA
"309",2015-12-04,33.9271669460078,40,NA,NA,NA
"310",2015-12-11,29.8336767035623,14,NA,NA,NA
"311",2015-12-18,33.3524156930978,37,NA,NA,NA
"312",2015-12-25,24.7183374497508,33,NA,NA,NA
"313",2016-01-01,23.0907626444836,28,NA,NA,NA
"314",2016-01-08,30.8692236058617,28,NA,NA,NA
"315",2016-01-15,30.4680824469046,36,NA,NA,NA
"316",2016-01-22,32.653577770269,32,NA,NA,NA
"317",2016-01-29,29.2032142518493,25,NA,NA,NA
"318",2016-02-05,31.301551655775,35,NA,NA,NA
"319",2016-02-12,30.8515779962298,36,NA,NA,NA
"320",2016-02-19,31.3976279231073,27,NA,NA,NA
"321",2016-02-26,30.0379834743112,34,NA,NA,NA
"322",2016-03-04,27.7661880299948,22,NA,NA,NA
"323",2016-03-11,30.4870740592512,27,NA,NA,NA
"324",2016-03-18,30.9951526982728,31,NA,NA,NA
"325",2016-03-25,30.3032275934526,32,NA,NA,NA
"326",2016-04-01,28.1099919766292,26,NA,NA,NA
"327",2016-04-08,32.2183860243389,34,NA,NA,NA
"328",2016-04-15,28.825404032168,32,NA,NA,NA
"329",2016-04-22,31.1299701223998,40,NA,NA,NA
"330",2016-04-29,29.6276853936411,22,NA,NA,NA
"331",2016-05-06,29.2312919519097,34,NA,NA,NA
"332",2016-05-13,31.7312153708755,36,NA,NA,NA
"333",2016-05-20,31.9278417692897,34,NA,NA,NA
"334",2016-05-27,31.722867724283,36,NA,NA,NA
"335",2016-06-03,25.7145902113711,16,NA,NA,NA
"336",2016-06-10,33.0138158185189,28,NA,NA,NA
"337",2016-06-17,29.2169138753764,28,NA,NA,NA
"338",2016-06-24,28.8209518227194,29,NA,NA,NA
"339",2016-07-01,28.5248514811648,26,NA,NA,NA
"340",2016-07-08,26.7307012232868,30,NA,NA,NA
"341",2016-07-15,28.3340259035481,33,NA,NA,NA
"342",2016-07-22,34.1337467916704,37,NA,NA,NA
"343",2016-07-29,27.931253912513,20,NA,NA,NA
"344",2016-08-05,30.5348867832878,29,NA,NA,NA
"345",2016-08-12,27.8397051327669,37,NA,NA,NA
"346",2016-08-19,30.4374484754078,26,NA,NA,NA
"347",2016-08-26,27.2386191071004,23,NA,NA,NA
"348",2016-09-02,26.7430634608291,21,NA,NA,NA
"349",2016-09-09,30.2519435029111,30,NA,NA,NA
"350",2016-09-16,29.261018135018,27,NA,NA,NA
"351",2016-09-23,31.171839077587,30,NA,NA,NA
"352",2016-09-30,29.5835650968606,22,NA,NA,NA
"353",2016-10-07,28.801148326594,30,NA,NA,NA
"354",2016-10-14,30.3178056162886,41,NA,NA,NA
"355",2016-10-21,28.426212451232,25,NA,NA,NA
"356",2016-10-28,29.7372655412222,25,NA,NA,NA
"357",2016-11-04,29.0519774857125,31,NA,NA,NA
"358",2016-11-11,30.5651848637219,28,NA,NA,NA
"359",2016-11-18,29.0803734771301,31,NA,NA,NA
"360",2016-11-25,28.0940794558661,27,NA,NA,NA
"361",2016-12-02,33.5086304532119,35,NA,NA,NA
"362",2016-12-09,29.4220295826434,29,NA,NA,NA
"363",2016-12-16,32.9357546690693,36,NA,NA,NA
"364",2016-12-23,24.2971130678523,30,NA,NA,NA
"365",2016-12-30,22.6669666370112,28,NA,NA,NA
"366",2017-01-06,30.4425286515128,28,NA,NA,NA
"367",2017-01-13,30.0381589853578,33,NA,NA,NA
"368",2017-01-20,32.222410815036,28,NA,NA,NA
"369",2017-01-27,28.7735602118188,28,NA,NA,NA
"370",2017-02-03,30.8707616177693,27,NA,NA,NA
"371",2017-02-10,30.4254980834377,29,NA,NA,NA
"372",2017-02-17,30.9813355408133,33,NA,NA,NA
"373",2017-02-24,29.6265229619022,26,NA,NA,NA
"374",2017-03-03,27.3654204399305,32,NA,NA,NA
"375",2017-03-10,30.0889662983961,29,NA,NA,NA
"376",2017-03-17,30.5978525741973,38,NA,NA,NA
"377",2017-03-24,29.9010217585279,27,NA,NA,NA
"378",2017-03-31,27.7064315638296,32,NA,NA,NA
"379",2017-04-07,31.8085252066616,35,NA,NA,NA
"380",2017-04-14,28.4081538954385,20,NA,NA,NA
"381",2017-04-21,30.7142766706135,39,NA,NA,NA
"382",2017-04-28,29.2139999193475,41,NA,NA,NA
"383",2017-05-05,28.8046201826024,25,NA,NA,NA
"384",2017-05-12,31.2981789663083,22,NA,NA,NA
"385",2017-05-19,31.4989192524356,20,NA,NA,NA
"386",2017-05-26,31.3085407955,40,NA,NA,NA
"387",2017-06-02,25.3114494396683,29,NA,NA,NA
"388",2017-06-09,32.6115092104309,37,NA,NA,NA
"389",2017-06-16,28.8081795048946,30,NA,NA,NA
"390",2017-06-23,28.4039292898906,36,NA,NA,NA
"391",2017-06-30,28.0938122056436,36,NA,NA,NA
"392",2017-07-07,26.277588731426,33,NA,NA,NA
