"","Week.ended","2.5%","50%","97.5%","fit"
"562",2020-10-09,124676.083555959,127162.793774253,129680.843007076,127182.158523736
"563",2020-10-16,128798.866086767,131292.652234118,133882.780859773,131332.41413475
"564",2020-10-23,132822.717600395,135412.121566571,138055.81946634,135455.925435375
"565",2020-10-30,136897.776770261,139543.39643468,142308.473794388,139600.827442818
"566",2020-11-06,141110.232903372,143867.974491829,146605.252096909,143911.179305697
"567",2020-11-13,145323.958050847,148153.153712964,150959.541685004,148184.612209965
"568",2020-11-20,149524.520856045,152362.610838519,155228.853809574,152420.530709545
"569",2020-11-27,153987.982425188,156824.160998563,159744.792969825,156874.746581535
"570",2020-12-04,158496.506084829,161386.122751552,164427.13315091,161463.76486767
"571",2020-12-11,163222.962326894,166209.241800025,169315.253454158,166262.129162904
"572",2020-12-18,167484.873979247,170518.618328414,173672.270110322,170591.004893163
"573",2020-12-25,172013.381511316,175080.590509589,178350.306247684,175154.725172599
"574",2021-01-01,177585.373775969,180759.1767331,184150.14250455,180838.742176422
"575",2021-01-08,183170.915731319,186362.228308104,189853.233404533,186483.600920026
"576",2021-01-15,188432.721541172,191777.132915566,195235.802660647,191855.184914122
"577",2021-01-22,193571.473395794,196971.175352543,200549.133380879,197041.625336215
"578",2021-01-29,198561.629132496,202000.801447952,205606.518833478,202061.47099913
"579",2021-02-05,203420.145120629,206907.39109516,210615.980545519,206974.068546156
"580",2021-02-12,208261.719709703,211800.862475567,215513.207408128,211867.748228018
"581",2021-02-19,213025.92722515,216653.064913046,220495.518742695,216722.38113462
"582",2021-02-26,217765.230049963,221431.765409737,225225.668684434,221463.449987496
"583",2021-03-05,222382.62244441,226202.789717001,230109.000900439,226240.267940586
"584",2021-03-12,227018.761697855,230874.785243563,234924.881672389,230921.069535741
"585",2021-03-19,231348.159975041,235292.015507463,239438.562801409,235305.029223857
"586",2021-03-26,235509.560481142,239596.201095778,243793.651991514,239622.019489227
"587",2021-04-02,240017.386513189,244110.285153168,248399.797966518,244168.558874105
"588",2021-04-09,244495.455435986,248624.537444695,252914.312237248,248680.39049944
"589",2021-04-16,248739.860114661,252970.819062556,257388.073879455,253028.608033012
"590",2021-04-23,253042.736662963,257379.881268687,261792.532930426,257401.831457009
"591",2021-04-30,256962.055421313,261476.101554683,265946.494651849,261482.496327157
"592",2021-05-07,261098.160029753,265692.306584238,270191.076142672,265659.192825433
"593",2021-05-14,265266.51922237,269866.37679386,274464.191608281,269840.194029935
"594",2021-05-21,269025.661996434,273735.294504906,278392.386339838,273725.117553136
"595",2021-05-28,272632.985244961,277501.19345295,282247.815561385,277485.839637683
"596",2021-06-04,276565.568858887,281583.802694839,286384.160334209,281538.543442511
"597",2021-06-11,280445.359905057,285405.020632594,290378.654708735,285406.621860877
"598",2021-06-18,284323.20129378,289314.181262672,294385.879597434,289317.798252181
"599",2021-06-25,287997.479140126,293154.582022137,298309.721109035,293171.197848853
"600",2021-07-02,291759.493817024,296925.146765679,302210.344118626,296966.462125821
"601",2021-07-09,295428.394980624,300726.701385493,306146.398481839,300772.412713143
"602",2021-07-16,299215.070532874,304511.318779895,309931.529315864,304573.694276734
"603",2021-07-23,302734.327981825,308256.8569881,313795.085749133,308341.591248746
"604",2021-07-30,306518.580710322,312065.828897572,317654.915948821,312122.629544654
"605",2021-08-06,310216.244496585,315812.677298898,321573.55130867,315917.315228611
"606",2021-08-13,313927.962984484,319607.614933938,325428.976698435,319701.798066798
"607",2021-08-20,317583.669278688,323265.147431279,329213.076091044,323374.308706979
"608",2021-08-27,321156.346314143,326965.275353402,333031.856886047,327060.51072864
"609",2021-09-03,325006.948482743,330855.088253612,337076.591437132,330989.941831141
"610",2021-09-10,328767.134384897,334707.91991827,341109.959035719,334868.922721015
"611",2021-09-17,332725.925049222,338699.062915699,345171.404794924,338831.499868362
"612",2021-09-24,336521.412076564,342707.209026822,349255.054030559,342845.767818734
"613",2021-10-01,340540.471441779,346706.271385314,353369.199375656,346873.786218319
"614",2021-10-08,344525.649634455,350810.284175515,357601.696915488,351000.286580276
"615",2021-10-15,348667.027612049,355056.101651756,361895.519440144,355224.124192619
"616",2021-10-22,352873.577255825,359300.178092189,366122.181846249,359421.218075382
"617",2021-10-29,356980.227640054,363488.8252748,370323.055705761,363639.704651128
"618",2021-11-05,361242.904753309,367919.201511589,374804.16038516,368023.640406728
"619",2021-11-12,365486.659346812,372251.737725954,379271.17891897,372370.657088239
"620",2021-11-19,369728.102956388,376525.579452308,383585.711229274,376680.161474633
"621",2021-11-26,374210.352484465,381058.783246914,388185.3206898,381207.96290905
"622",2021-12-03,378830.84669759,385695.705146149,393033.115975073,385870.564104374
"623",2021-12-10,383613.548370952,390556.49813498,397928.1426409,390742.512437574
"624",2021-12-17,387985.615462605,394953.038449481,402411.767036845,395144.969577468
"625",2021-12-24,392436.05956635,399627.164565587,407181.201234353,399782.271688336
"626",2021-12-31,398153.273757849,405394.198257239,413009.392453212,405539.872453558
"627",2022-01-07,403860.587604798,411074.265338686,418867.584926729,411258.312382697
"628",2022-01-14,409272.835500181,416574.340181348,424448.892907548,416703.475349825
"629",2022-01-21,414438.470558473,421776.657568893,429765.272471074,421963.494257496
"630",2022-01-28,419418.241633149,426914.635841792,434917.977179299,427056.914931724
"631",2022-02-04,424266.140809099,431932.270929817,439947.735125024,432043.088296974
"632",2022-02-11,429156.823091678,436884.758473029,444816.753732457,437010.342267063
"633",2022-02-18,434031.73314239,441842.467945962,449942.93458308,441938.548372196
"634",2022-02-25,438787.915578776,446678.985877944,454808.720658143,446753.190129583
