"","Week.ended","signal","Female.15.44","fit","upr","lwr"
"292",2015-08-07,94.9144069291953,78,NA,NA,NA
"293",2015-08-14,97.9378916165375,101,NA,NA,NA
"294",2015-08-21,95.8580324530578,104,NA,NA,NA
"295",2015-08-28,92.2692821853251,110,NA,NA,NA
"296",2015-09-04,89.261169808905,76,NA,NA,NA
"297",2015-09-11,96.7675387531989,103,NA,NA,NA
"298",2015-09-18,103.767101791871,105,NA,NA,NA
"299",2015-09-25,102.165318494238,111,NA,NA,NA
"300",2015-10-02,96.7538876422696,115,NA,NA,NA
"301",2015-10-09,101.922531865981,114,NA,NA,NA
"302",2015-10-16,95.0779873822116,79,NA,NA,NA
"303",2015-10-23,103.451000210133,104,NA,NA,NA
"304",2015-10-30,102.12341352518,92,NA,NA,NA
"305",2015-11-06,102.606881701909,104,NA,NA,NA
"306",2015-11-13,105.888828580505,82,NA,NA,NA
"307",2015-11-20,99.7968622819941,93,NA,NA,NA
"308",2015-11-27,104.712318220282,111,NA,NA,NA
"309",2015-12-04,107.620907951613,101,NA,NA,NA
"310",2015-12-11,108.136727775979,94,NA,NA,NA
"311",2015-12-18,113.867985038498,131,NA,NA,NA
"312",2015-12-25,100.380533981411,95,NA,NA,NA
"313",2016-01-01,83.4807032279089,91,NA,NA,NA
"314",2016-01-08,100.763643894699,91,NA,NA,NA
"315",2016-01-15,110.648155642299,105,NA,NA,NA
"316",2016-01-22,108.038835228368,107,NA,NA,NA
"317",2016-01-29,105.430649232165,107,NA,NA,NA
"318",2016-02-05,106.275294944879,111,NA,NA,NA
"319",2016-02-12,111.114781235749,128,NA,NA,NA
"320",2016-02-19,109.208555983482,109,NA,NA,NA
"321",2016-02-26,107.302558476289,91,NA,NA,NA
"322",2016-03-04,105.323454423599,106,NA,NA,NA
"323",2016-03-11,105.466613614608,101,NA,NA,NA
"324",2016-03-18,104.091648351451,101,NA,NA,NA
"325",2016-03-25,92.7200591970343,90,NA,NA,NA
"326",2016-04-01,99.1514403725479,93,NA,NA,NA
"327",2016-04-08,104.089538978136,105,NA,NA,NA
"328",2016-04-15,102.126643351823,122,NA,NA,NA
"329",2016-04-22,104.542045835298,111,NA,NA,NA
"330",2016-04-29,106.650396172789,115,NA,NA,NA
"331",2016-05-06,97.249628665278,99,NA,NA,NA
"332",2016-05-13,105.046949735997,113,NA,NA,NA
"333",2016-05-20,105.335586001893,119,NA,NA,NA
"334",2016-05-27,101.409300600671,121,NA,NA,NA
"335",2016-06-03,96.8616219735801,86,NA,NA,NA
"336",2016-06-10,101.92580433866,101,NA,NA,NA
"337",2016-06-17,98.1909976906832,81,NA,NA,NA
"338",2016-06-24,101.874963772002,103,NA,NA,NA
"339",2016-07-01,94.8577013033005,99,NA,NA,NA
"340",2016-07-08,97.1359154059129,112,NA,NA,NA
"341",2016-07-15,103.897897789965,93,NA,NA,NA
"342",2016-07-22,97.1717807797158,90,NA,NA,NA
"343",2016-07-29,104.753495420751,109,NA,NA,NA
"344",2016-08-05,94.030572839308,89,NA,NA,NA
"345",2016-08-12,97.0131436901718,105,NA,NA,NA
"346",2016-08-19,94.8869928196956,85,NA,NA,NA
"347",2016-08-26,91.2716386372932,84,NA,NA,NA
"348",2016-09-02,88.2642251518833,93,NA,NA,NA
"349",2016-09-09,95.7516401563133,98,NA,NA,NA
"350",2016-09-16,102.736599930892,112,NA,NA,NA
"351",2016-09-23,101.111443986478,91,NA,NA,NA
"352",2016-09-30,95.6973298328983,103,NA,NA,NA
"353",2016-10-07,100.875241095607,99,NA,NA,NA
"354",2016-10-14,94.0552001390248,89,NA,NA,NA
"355",2016-10-21,102.440679507991,98,NA,NA,NA
"356",2016-10-28,101.131008140262,101,NA,NA,NA
"357",2016-11-04,101.62147983464,93,NA,NA,NA
"358",2016-11-11,104.921366265148,91,NA,NA,NA
