"","Week.ended","2.5%","50%","97.5%","fit"
"584",2021-03-12,24459.8317998816,28324.7802493405,32393.2828085755,28296.6798152821
"585",2021-03-19,24880.2878888808,28844.2515087946,33008.0898288527,28803.0640006915
"586",2021-03-26,25330.1478007951,29381.3025820075,33636.3509067419,29323.8820333861
"587",2021-04-02,25744.0362403412,29924.5579763228,34307.1573933478,29865.196112905
"588",2021-04-09,26179.7431402725,30483.0109406288,34958.8658425398,30398.9349336883
"589",2021-04-16,26540.5412576131,30990.49171957,35598.4640659101,30920.6859682653
"590",2021-04-23,26969.3402057466,31551.8303293375,36249.4515318865,31469.2494156713
"591",2021-04-30,27416.0688646454,32058.9251026481,36868.5056016549,31972.9935838525
"592",2021-05-07,27838.9005468703,32567.3372280892,37542.1175319089,32492.4873486396
"593",2021-05-14,28282.8261517357,33098.9043863661,38162.6158183267,33014.5769402608
"594",2021-05-21,28651.9828876601,33618.8728504627,38753.0658031684,33508.2310467921
"595",2021-05-28,29041.0059228827,34079.0335170183,39286.8597083107,33969.314081002
"596",2021-06-04,29442.150206636,34579.6838718774,39858.7471325956,34486.5144359097
"597",2021-06-11,29779.3919221159,35035.1227919037,40457.5253558407,34966.8166359346
"598",2021-06-18,30124.085591167,35519.0651020482,41081.1782289424,35467.1293373825
"599",2021-06-25,30462.3562361399,35999.5137752026,41684.1350590194,35948.2547670012
"600",2021-07-02,30782.0139518866,36480.7385030204,42261.952473984,36418.3055378167
"601",2021-07-09,31092.195181824,36941.5800569288,42850.9935361477,36903.2732654057
"602",2021-07-16,31469.9125477864,37431.6384586619,43443.8876249267,37389.7544215339
"603",2021-07-23,31803.2941355137,37892.6832502991,44023.9053696501,37866.733828801
"604",2021-07-30,32131.7551977156,38366.7033666276,44647.0547866622,38343.4239226402
"605",2021-08-06,32493.9875741846,38848.1945779121,45253.1973735771,38824.0710631192
"606",2021-08-13,32857.4911075942,39301.6816706711,45888.7596989891,39298.2740142229
"607",2021-08-20,33189.4973244042,39769.0125384553,46495.1505589287,39753.9353989514
"608",2021-08-27,33523.753688612,40230.9252473134,47089.561144672,40220.3292805703
"609",2021-09-03,33880.110745299,40704.3392483718,47677.728140653,40703.5186028991
"610",2021-09-10,34241.2257628744,41197.9319670886,48313.6247712272,41195.2596384692
"611",2021-09-17,34573.1341513421,41651.9129421497,48928.87418039,41683.2418721059
"612",2021-09-24,34922.5405296969,42167.3062964259,49528.0667469871,42189.6846267637
"613",2021-10-01,35256.9676117235,42652.9370832623,50106.1563963578,42695.5254642298
"614",2021-10-08,35587.3911888315,43159.6603636617,50764.0957735202,43205.6683436627
"615",2021-10-15,35989.011103153,43670.6863441206,51468.1368066905,43728.5656771101
"616",2021-10-22,36403.2660848264,44208.6020852925,52085.4168883901,44247.9914922561
"617",2021-10-29,36832.2711879104,44714.2981378594,52741.0539074699,44769.4160919036
"618",2021-11-05,37264.5589836257,45242.9251747908,53405.9522555954,45302.4631882396
"619",2021-11-12,37593.1913273357,45764.590713582,54059.8380064227,45823.9743603733
"620",2021-11-19,37930.9274453403,46296.4913045129,54750.7835891763,46355.7216901991
"621",2021-11-26,38275.4745380048,46862.753746349,55424.0707625088,46894.8532741234
"622",2021-12-03,38665.4395749616,47415.9635127099,56111.9631638769,47458.2747788336
"623",2021-12-10,39126.9969075767,48009.4955305217,56856.1298624846,48058.8739017324
"624",2021-12-17,39533.6893050438,48564.5995433534,57487.964682099,48606.4682621717
"625",2021-12-24,39982.6686577338,49111.8124787284,58261.9013640939,49161.7385762878
"626",2021-12-31,40533.7255015593,49767.9059046157,59038.3803599854,49826.2171911537
"627",2022-01-07,41080.7629810082,50414.5755979618,59859.7183503683,50492.3291083211
"628",2022-01-14,41598.1945305533,51061.8907532776,60682.0435292901,51138.4488876965
"629",2022-01-21,42133.3748976995,51684.5048658959,61445.9428040009,51766.4704797238
"630",2022-01-28,42594.2071575983,52279.5512746647,62210.9938240921,52370.2328328397
"631",2022-02-04,43046.6781464934,52870.6507433186,62998.4341783886,52969.9690570589
"632",2022-02-11,43500.144331934,53442.5301944533,63776.511906226,53561.0149012744
"633",2022-02-18,43837.5046771926,54043.321641998,64522.9940499407,54139.9217771459
"634",2022-02-25,44258.0268436002,54612.0989645216,65221.2167058087,54709.7998487097
