"","Week.ended","signal","West.Midlands","fit","upr","lwr"
"293",2015-08-14,923.669167674508,950,NA,NA,NA
"294",2015-08-21,928.885839047484,969,NA,NA,NA
"295",2015-08-28,881.603157418003,834,NA,NA,NA
"296",2015-09-04,867.550392463232,774,NA,NA,NA
"297",2015-09-11,944.528591394958,932,NA,NA,NA
"298",2015-09-18,934.225214638702,973,NA,NA,NA
"299",2015-09-25,939.145835644884,969,NA,NA,NA
"300",2015-10-02,956.245977125089,957,NA,NA,NA
"301",2015-10-09,971.032972919349,951,NA,NA,NA
"302",2015-10-16,965.269224922062,997,NA,NA,NA
"303",2015-10-23,995.252280440183,1053,NA,NA,NA
"304",2015-10-30,992.728558299242,967,NA,NA,NA
"305",2015-11-06,981.253389588513,1084,NA,NA,NA
"306",2015-11-13,1032.18692950393,1027,NA,NA,NA
"307",2015-11-20,1020.61089870008,1071,NA,NA,NA
"308",2015-11-27,1027.05638088694,990,NA,NA,NA
"309",2015-12-04,1045.74790653122,1087,NA,NA,NA
"310",2015-12-11,1062.82024038039,1006,NA,NA,NA
"311",2015-12-18,1100.68318215372,1101,NA,NA,NA
"312",2015-12-25,956.840600503223,826,NA,NA,NA
"313",2016-01-01,999.921555077713,799,NA,NA,NA
"314",2016-01-08,1319.77202825575,1396,NA,NA,NA
"315",2016-01-15,1273.20262871394,1208,NA,NA,NA
"316",2016-01-22,1227.40633985933,1209,NA,NA,NA
"317",2016-01-29,1198.38549383664,1195,NA,NA,NA
"318",2016-02-05,1173.6054889249,1197,NA,NA,NA
"319",2016-02-12,1146.32671342962,1262,NA,NA,NA
"320",2016-02-19,1123.48582746624,1088,NA,NA,NA
"321",2016-02-26,1122.53633109817,1087,NA,NA,NA
"322",2016-03-04,1137.11546844551,1144,NA,NA,NA
"323",2016-03-11,1129.00541572894,1104,NA,NA,NA
"324",2016-03-18,1099.16411016351,1136,NA,NA,NA
"325",2016-03-25,1018.78060519659,891,NA,NA,NA
"326",2016-04-01,1006.72483596633,942,NA,NA,NA
"327",2016-04-08,1088.39748391573,1232,NA,NA,NA
"328",2016-04-15,1093.66655586107,1183,NA,NA,NA
"329",2016-04-22,1040.27818248298,1134,NA,NA,NA
"330",2016-04-29,1053.85585658239,1065,NA,NA,NA
"331",2016-05-06,980.539242929696,929,NA,NA,NA
"332",2016-05-13,1017.12116793347,1069,NA,NA,NA
"333",2016-05-20,1034.69863386074,1013,NA,NA,NA
"334",2016-05-27,938.554395242258,995,NA,NA,NA
"335",2016-06-03,907.52608012248,776,NA,NA,NA
"336",2016-06-10,1023.79079960323,1011,NA,NA,NA
"337",2016-06-17,967.178514751691,981,NA,NA,NA
"338",2016-06-24,956.425265189006,1015,NA,NA,NA
"339",2016-07-01,965.050819727277,954,NA,NA,NA
"340",2016-07-08,947.969035006104,956,NA,NA,NA
"341",2016-07-15,949.047237896592,943,NA,NA,NA
"342",2016-07-22,933.030868742676,914,NA,NA,NA
