"","Week.ended","2.5%","50%","97.5%","fit"
"584",2021-03-12,72319.8356138477,88978.8308393821,105856.921367461,88962.9861864902
"585",2021-03-19,73491.2277392146,90664.0117043325,107953.453189142,90638.5555415859
"586",2021-03-26,74619.9817746658,92316.6941794807,109921.321662897,92283.9396002127
"587",2021-04-02,75857.0254337362,94010.2391563089,112149.633403256,94023.2369623
"588",2021-04-09,77085.7723479272,95760.7063760747,114360.181613339,95758.5027836043
"589",2021-04-16,78228.6983460093,97453.1188796445,116400.74560626,97414.6120027451
"590",2021-04-23,79201.4302191372,99219.0484968676,118499.108843318,99088.3667989159
"591",2021-04-30,80352.7551686925,100760.518605397,120589.066505874,100673.089754403
"592",2021-05-07,81463.6416948563,102438.871714334,122695.045125054,102295.840825239
"593",2021-05-14,82501.1305240972,104028.491755857,124979.820855573,103900.893424693
"594",2021-05-21,83394.7068526818,105457.973856053,126973.924788608,105415.849734303
"595",2021-05-28,84372.0711432255,106888.154368359,128943.789766841,106888.517611796
"596",2021-06-04,85388.2073702556,108446.432184514,130916.838291512,108491.827924606
"597",2021-06-11,86453.8889278474,109967.930611587,132838.845676315,110001.834735416
"598",2021-06-18,87540.4061786841,111469.62280116,134631.282326093,111526.681033707
"599",2021-06-25,88410.7297947051,113002.353838256,136491.188693453,113019.751523581
"600",2021-07-02,89387.523069731,114443.423593563,138470.386144894,114510.730526732
"601",2021-07-09,90409.3586808689,115970.829528545,140405.40843493,115999.305187733
"602",2021-07-16,91471.3936911472,117409.293702745,142304.246377561,117483.682663903
"603",2021-07-23,92489.8513137478,118913.457498536,144277.429543983,118924.36980464
"604",2021-07-30,93526.2110964503,120293.75577125,146317.723721336,120388.535414417
"605",2021-08-06,94290.1510191641,121784.892069497,148235.690242849,121856.330110693
"606",2021-08-13,95137.6010530534,123290.405866391,150171.751624714,123342.105342822
"607",2021-08-20,95922.3048858644,124710.120810194,152169.081438631,124782.604906004
"608",2021-08-27,96681.2060990004,126020.433792231,153980.28202066,126208.468272136
"609",2021-09-03,97551.0526109488,127512.608883309,156100.71054186,127746.442678715
"610",2021-09-10,98441.3494317924,128931.135439893,158043.182529871,129258.223022349
"611",2021-09-17,99458.6233611495,130621.036268918,160011.20918922,130791.652327864
"612",2021-09-24,100487.882293227,132204.723293051,162082.0727633,132372.177042387
"613",2021-10-01,101513.256837666,133757.616242886,164358.986650655,133955.41396482
"614",2021-10-08,102408.98968827,135394.351259116,166540.520060603,135549.807426191
"615",2021-10-15,103293.310874982,137166.589395578,168845.444751397,137203.519610922
"616",2021-10-22,104293.754903758,138804.470718879,171025.781866476,138833.335284975
"617",2021-10-29,105210.5880294,140419.682710406,173158.157758274,140471.768030267
"618",2021-11-05,106172.181840388,142055.166290303,175231.825124666,142150.311887044
"619",2021-11-12,107608.843365704,143638.077606899,177327.038701419,143854.587287396
"620",2021-11-19,109051.239743713,145273.789083696,179542.369262911,145528.02457342
"621",2021-11-26,110404.74449162,147080.604346389,181728.625591287,147289.728742448
"622",2021-12-03,111605.023805654,148833.978537856,183979.121932894,149082.354980906
"623",2021-12-10,112907.727223984,150593.81473999,186261.806923247,150937.373118006
"624",2021-12-17,114121.338085757,152184.451857819,188506.762032855,152638.632037005
"625",2021-12-24,115367.599279444,153953.790997118,190836.308687366,154388.979350014
"626",2021-12-31,117021.331150847,155974.341603651,193559.844509048,156534.849845474
"627",2022-01-07,118489.787594941,158228.007426283,196284.58529266,158699.381589251
"628",2022-01-14,119990.019659892,160305.678655586,198922.140456335,160756.623587487
"629",2022-01-21,121404.088840789,162354.803452882,201537.343545382,162757.465500545
"630",2022-01-28,122769.590872303,164218.552523982,204189.684048272,164717.633215891
"631",2022-02-04,124149.748624221,166255.552388803,206875.394343091,166642.608362688
"632",2022-02-11,125570.849630158,168252.66855853,209530.482527729,168587.465243512
"633",2022-02-18,127116.503379905,170135.692979386,212145.29397251,170466.6061919
"634",2022-02-25,128401.213843011,171999.586425743,214507.980509251,172313.24959255
