"","Week.ended","signal","All.15.44","fit","upr","lwr"
"201",2013-11-08,290.176558579758,276,NA,NA,NA
"202",2013-11-15,300.721993495942,316,NA,NA,NA
"203",2013-11-22,299.83502214425,310,NA,NA,NA
"204",2013-11-29,297.926489799294,324,NA,NA,NA
"205",2013-12-06,312.162652781193,295,NA,NA,NA
"206",2013-12-13,311.635219565075,318,NA,NA,NA
"207",2013-12-20,321.894285976402,375,NA,NA,NA
"208",2013-12-27,256.340709550855,189,NA,NA,NA
"209",2014-01-03,200.008450475044,213,NA,NA,NA
"210",2014-01-10,270.988336185053,276,NA,NA,NA
"211",2014-01-17,307.139409807802,278,NA,NA,NA
"212",2014-01-24,309.07956392834,301,NA,NA,NA
"213",2014-01-31,305.582310204066,313,NA,NA,NA
"214",2014-02-07,305.978413684196,303,NA,NA,NA
"215",2014-02-14,308.835380149347,328,NA,NA,NA
"216",2014-02-21,304.469878246778,310,NA,NA,NA
"217",2014-02-28,297.456282734641,312,NA,NA,NA
"218",2014-03-07,297.320929368867,329,NA,NA,NA
"219",2014-03-14,295.04519616235,332,NA,NA,NA
"220",2014-03-21,302.336990361588,330,NA,NA,NA
"221",2014-03-28,264.970108391242,270,NA,NA,NA
"222",2014-04-04,278.392557488739,310,NA,NA,NA
"223",2014-04-11,291.147963857291,299,NA,NA,NA
"224",2014-04-18,287.986715226613,243,NA,NA,NA
"225",2014-04-25,290.520888177542,277,NA,NA,NA
"226",2014-05-02,301.283740362511,356,NA,NA,NA
"227",2014-05-09,284.730533573001,226,NA,NA,NA
"228",2014-05-16,295.00190045761,291,NA,NA,NA
"229",2014-05-23,300.681755796404,319,NA,NA,NA
"230",2014-05-30,266.22275620157,210,NA,NA,NA
"231",2014-06-06,261.183011019781,301,NA,NA,NA
"232",2014-06-13,285.658809792596,292,NA,NA,NA
"233",2014-06-20,284.521158230221,313,NA,NA,NA
"234",2014-06-27,289.523100032014,285,NA,NA,NA
"235",2014-07-04,281.434635807419,251,NA,NA,NA
"236",2014-07-11,274.810726664692,296,NA,NA,NA
"237",2014-07-18,282.041872831858,276,NA,NA,NA
"238",2014-07-25,279.385834450398,234,NA,NA,NA
"239",2014-08-01,291.52606422464,312,NA,NA,NA
"240",2014-08-08,270.522866615406,248,NA,NA,NA
"241",2014-08-15,277.16744238869,293,NA,NA,NA
"242",2014-08-22,273.978435632542,268,NA,NA,NA
"243",2014-08-29,254.60210977076,246,NA,NA,NA
"244",2014-09-05,244.744029893715,247,NA,NA,NA
"245",2014-09-12,280.681164865445,300,NA,NA,NA
"246",2014-09-19,284.777322544341,262,NA,NA,NA
"247",2014-09-26,279.021793333697,292,NA,NA,NA
"248",2014-10-03,276.238735973905,288,NA,NA,NA
"249",2014-10-10,289.630731729027,270,NA,NA,NA
"250",2014-10-17,276.86436634265,273,NA,NA,NA
"251",2014-10-24,291.10619768605,285,NA,NA,NA
"252",2014-10-31,287.760980920646,312,NA,NA,NA
"253",2014-11-07,289.364350631815,289,NA,NA,NA
"254",2014-11-14,299.668493169215,300,NA,NA,NA
"255",2014-11-21,298.571932545559,288,NA,NA,NA
"256",2014-11-28,296.497796109114,321,NA,NA,NA
"257",2014-12-05,310.571687906417,339,NA,NA,NA
"258",2014-12-12,309.785280246673,300,NA,NA,NA
"259",2014-12-19,319.819628201404,285,NA,NA,NA
"260",2014-12-26,254.227832270704,189,NA,NA,NA
"261",2015-01-02,197.852872053532,198,NA,NA,NA
"262",2015-01-09,268.817300999006,298,NA,NA,NA
"263",2015-01-16,304.901648534824,316,NA,NA,NA
"264",2015-01-23,306.689728020494,318,NA,NA,NA
"265",2015-01-30,302.99927176837,329,NA,NA,NA
"266",2015-02-06,303.162756130447,286,NA,NA,NA
"267",2015-02-13,305.817189968268,312,NA,NA,NA
"268",2015-02-20,301.276691230186,303,NA,NA,NA
"269",2015-02-27,294.096173535553,296,NA,NA,NA
"270",2015-03-06,293.820708532695,291,NA,NA,NA
"271",2015-03-13,291.478041370026,272,NA,NA,NA
"272",2015-03-20,298.822601647161,302,NA,NA,NA
"273",2015-03-27,261.560422326291,286,NA,NA,NA
"274",2015-04-03,275.046404075999,214,NA,NA,NA
"275",2015-04-10,288.06187170613,271,NA,NA,NA
"276",2015-04-17,285.213529370925,321,NA,NA,NA
"277",2015-04-24,287.889280146087,298,NA,NA,NA
"278",2015-05-01,298.743585014946,277,NA,NA,NA
"279",2015-05-08,282.444010327617,224,NA,NA,NA
"280",2015-05-15,292.968401568294,309,NA,NA,NA
"281",2015-05-22,298.858788092906,304,NA,NA,NA
"282",2015-05-29,264.638269563234,213,NA,NA,NA
"283",2015-06-05,259.827281265507,295,NA,NA,NA
"284",2015-06-12,284.541687910839,270,NA,NA,NA
"285",2015-06-19,283.686939014423,279,NA,NA,NA
"286",2015-06-26,289.042131611432,298,NA,NA,NA
"287",2015-07-03,281.278323622043,288,NA,NA,NA
"288",2015-07-10,274.900258246048,272,NA,NA,NA
"289",2015-07-17,282.428344624578,268,NA,NA,NA
"290",2015-07-24,280.08703504826,288,NA,NA,NA
"291",2015-07-31,292.428941236261,299,NA,NA,NA
"292",2015-08-07,271.65690951355,264,NA,NA,NA
"293",2015-08-14,278.50111890585,286,NA,NA,NA
"294",2015-08-21,275.529422378131,298,NA,NA,NA
"295",2015-08-28,256.31006337838,314,NA,NA,NA
"296",2015-09-04,246.468337920718,224,NA,NA,NA
"297",2015-09-11,282.474270184447,278,NA,NA,NA
"298",2015-09-18,286.689692848515,287,NA,NA,NA
"299",2015-09-25,281.004457318291,295,NA,NA,NA
"300",2015-10-02,278.289535761619,299,NA,NA,NA
"301",2015-10-09,291.73068511958,297,NA,NA,NA
"302",2015-10-16,278.960657703301,256,NA,NA,NA
"303",2015-10-23,293.239332270748,292,NA,NA,NA
"304",2015-10-30,289.920635593036,277,NA,NA,NA
"305",2015-11-06,291.629344950137,304,NA,NA,NA
"306",2015-11-13,302.011814839333,261,NA,NA,NA
"307",2015-11-20,301.081275125957,295,NA,NA,NA
"308",2015-11-27,299.16363444039,317,NA,NA,NA
"309",2015-12-04,313.408160936773,295,NA,NA,NA
"310",2015-12-11,312.891733089684,286,NA,NA,NA
"311",2015-12-18,323.232345453039,365,NA,NA,NA
"312",2015-12-25,257.78436420299,246,NA,NA,NA
"313",2016-01-01,201.439859417543,146,NA,NA,NA
"314",2016-01-08,272.552649674834,299,NA,NA,NA
"315",2016-01-15,308.79116048635,326,NA,NA,NA
"316",2016-01-22,310.72044225621,345,NA,NA,NA
"317",2016-01-29,307.122468003521,324,NA,NA,NA
"318",2016-02-05,307.397785629283,314,NA,NA,NA
"319",2016-02-12,310.113644714541,331,NA,NA,NA
"320",2016-02-19,305.603383449099,305,NA,NA,NA
"321",2016-02-26,298.458038387414,267,NA,NA,NA
"322",2016-03-04,298.288510061814,318,NA,NA,NA
"323",2016-03-11,296.00398640003,273,NA,NA,NA
"324",2016-03-18,303.414169080427,295,NA,NA,NA
"325",2016-03-25,266.242199103479,247,NA,NA,NA
"326",2016-04-01,279.911043866234,264,NA,NA,NA
"327",2016-04-08,293.01363763607,306,NA,NA,NA
"328",2016-04-15,290.18868595766,311,NA,NA,NA
"329",2016-04-22,292.919591280782,319,NA,NA,NA
"330",2016-04-29,303.795177298274,327,NA,NA,NA
"331",2016-05-06,287.421543432249,348,NA,NA,NA
"332",2016-05-13,297.619416251966,308,NA,NA,NA
"333",2016-05-20,303.195270755515,328,NA,NA,NA
"334",2016-05-27,268.618511804537,326,NA,NA,NA
"335",2016-06-03,263.220040647387,214,NA,NA,NA
"336",2016-06-10,287.525970402856,268,NA,NA,NA
"337",2016-06-17,286.273316806971,255,NA,NA,NA
"338",2016-06-24,291.286997224069,295,NA,NA,NA
"339",2016-07-01,283.192801969525,303,NA,NA,NA
"340",2016-07-08,276.456593552787,287,NA,NA,NA
"341",2016-07-15,283.598021455714,279,NA,NA,NA
"342",2016-07-22,280.849202248517,282,NA,NA,NA
"343",2016-07-29,292.797942077561,312,NA,NA,NA
"344",2016-08-05,271.605952310594,276,NA,NA,NA
"345",2016-08-12,278.004642303681,277,NA,NA,NA
"346",2016-08-19,274.605463249365,276,NA,NA,NA
"347",2016-08-26,255.003326235089,241,NA,NA,NA
"348",2016-09-02,244.930891757003,228,NA,NA,NA
"349",2016-09-09,280.694369491255,283,NA,NA,NA
"350",2016-09-16,284.65295673931,265,NA,NA,NA
"351",2016-09-23,278.753229987463,264,NA,NA,NA
"352",2016-09-30,275.884796396991,297,NA,NA,NA
"353",2016-10-07,289.171575226148,275,NA,NA,NA
"354",2016-10-14,276.288413465404,272,NA,NA,NA
"355",2016-10-21,290.414347883239,276,NA,NA,NA
"356",2016-10-28,286.97085665766,271,NA,NA,NA
"357",2016-11-04,288.561241308419,281,NA,NA,NA
"358",2016-11-11,298.867664151808,278,NA,NA,NA
"359",2016-11-18,297.818349518205,355,NA,NA,NA
"360",2016-11-25,295.647746555361,284,NA,NA,NA
"361",2016-12-02,309.701849695037,345,NA,NA,NA
"362",2016-12-09,308.881081724143,310,NA,NA,NA
"363",2016-12-16,318.85794040923,281,NA,NA,NA
"364",2016-12-23,253.215099790466,339,NA,NA,NA
"365",2016-12-30,196.468780905785,178,NA,NA,NA
"366",2017-01-06,267.101337495586,215,NA,NA,NA
"367",2017-01-13,303.026224715217,287,NA,NA,NA
"368",2017-01-20,304.712377979965,301,NA,NA,NA
"369",2017-01-27,300.951860136553,286,NA,NA,NA
"370",2017-02-03,301.132147679162,308,NA,NA,NA
"371",2017-02-10,303.752413235074,293,NA,NA,NA
"372",2017-02-17,299.213667615011,295,NA,NA,NA
"373",2017-02-24,292.04749599331,286,NA,NA,NA
"374",2017-03-03,291.803242659395,254,NA,NA,NA
"375",2017-03-10,289.565988820939,316,NA,NA,NA
"376",2017-03-17,296.918578102337,274,NA,NA,NA
"377",2017-03-24,259.719780112177,268,NA,NA,NA
"378",2017-03-31,273.303418899766,307,NA,NA,NA
"379",2017-04-07,286.215583674479,277,NA,NA,NA
"380",2017-04-14,283.247295676974,235,NA,NA,NA
"381",2017-04-21,285.98134529711,280,NA,NA,NA
"382",2017-04-28,296.92808198332,273,NA,NA,NA
"383",2017-05-05,280.725572662482,268,NA,NA,NA
"384",2017-05-12,291.25005562735,323,NA,NA,NA
"385",2017-05-19,297.107193601753,291,NA,NA,NA
"386",2017-05-26,262.877285579793,307,NA,NA,NA
"387",2017-06-02,257.853788613327,223,NA,NA,NA
"388",2017-06-09,282.50422021928,308,NA,NA,NA
"389",2017-06-16,281.500572579421,259,NA,NA,NA
"390",2017-06-23,286.744651034073,300,NA,NA,NA
"391",2017-06-30,278.860613491442,275,NA,NA,NA
"392",2017-07-07,272.384764718393,293,NA,NA,NA
"393",2017-07-14,279.765188850672,270,NA,NA,NA
"394",2017-07-21,277.266325981445,331,NA,NA,NA
"395",2017-07-28,289.353488305776,280,NA,NA,NA
"396",2017-08-04,268.360490368199,269,NA,NA,NA
"397",2017-08-11,274.966135963046,257,NA,NA,NA
"398",2017-08-18,271.809889632695,293,NA,NA,NA
"399",2017-08-25,252.408696836805,286,NA,NA,NA
"400",2017-09-01,242.436253333677,211,NA,NA,NA
"401",2017-09-08,278.330489449142,273,NA,NA,NA
"402",2017-09-15,282.436032096577,277,NA,NA,NA
"403",2017-09-22,276.6531051431,294,NA,NA,NA
"404",2017-09-29,273.833383590712,243,NA,NA,NA
"405",2017-10-06,287.279062906419,284,NA,NA,NA
"406",2017-10-13,274.531697461402,245,NA,NA,NA
"407",2017-10-20,288.84697187051,293,NA,NA,NA
"408",2017-10-27,285.553437267656,269,NA,NA,NA
"409",2017-11-03,287.29501425624,288,NA,NA,NA
"410",2017-11-10,297.735095895488,322,NA,NA,NA
"411",2017-11-17,296.723709106433,308,NA,NA,NA
"412",2017-11-24,294.688404111609,310,NA,NA,NA
"413",2017-12-01,308.820621602271,295,NA,NA,NA
"414",2017-12-08,308.182154093272,268,NA,NA,NA
"415",2017-12-15,318.428917183502,267,NA,NA,NA
"416",2017-12-22,253.084766447133,307,NA,NA,NA
"417",2017-12-29,196.704736378941,172,NA,NA,NA
"418",2018-01-05,267.716808906416,208,NA,NA,NA
"419",2018-01-12,304.037365284135,302,NA,NA,NA
"420",2018-01-19,306.089515856402,286,NA,NA,NA
"421",2018-01-26,302.729732962289,298,NA,NA,NA
"422",2018-02-02,303.289073241181,339,NA,NA,NA
"423",2018-02-09,306.227212321527,293,NA,NA,NA
"424",2018-02-16,302.011589536538,318,NA,NA,NA
"425",2018-02-23,295.125690005369,294,NA,NA,NA
"426",2018-03-02,295.151269090866,254,NA,NA,NA
