"","Week.ended","signal","All.Under.1.year","fit","upr","lwr"
"381",2017-04-21,53.8283225485599,68,NA,NA,NA
"382",2017-04-28,53.5137168747058,70,NA,NA,NA
"383",2017-05-05,51.4844381158312,44,NA,NA,NA
"384",2017-05-12,54.5618206399131,41,NA,NA,NA
"385",2017-05-19,54.5512734254227,38,NA,NA,NA
"386",2017-05-26,53.3554571384749,71,NA,NA,NA
"387",2017-06-02,44.7439368947534,49,NA,NA,NA
"388",2017-06-09,57.5286286792179,57,NA,NA,NA
"389",2017-06-16,52.5137909526033,60,NA,NA,NA
"390",2017-06-23,51.8922903668711,65,NA,NA,NA
"391",2017-06-30,48.7591236865797,54,NA,NA,NA
"392",2017-07-07,50.0212925332144,60,NA,NA,NA
"393",2017-07-14,49.6745801528343,56,NA,NA,NA
"394",2017-07-21,55.1222380363581,64,NA,NA,NA
"395",2017-07-28,49.8619945539347,37,NA,NA,NA
"396",2017-08-04,54.9131984752824,47,NA,NA,NA
"397",2017-08-11,52.7714452839282,55,NA,NA,NA
"398",2017-08-18,55.8277086392643,50,NA,NA,NA
"399",2017-08-25,46.4891587588759,51,NA,NA,NA
"400",2017-09-01,47.5465941496034,45,NA,NA,NA
"401",2017-09-08,52.9062960543892,53,NA,NA,NA
"402",2017-09-15,52.2659145609981,48,NA,NA,NA
"403",2017-09-22,54.0293298073912,49,NA,NA,NA
"404",2017-09-29,53.8972212467083,45,NA,NA,NA
"405",2017-10-06,56.0730313710804,66,NA,NA,NA
"406",2017-10-13,52.1400063169237,48,NA,NA,NA
"407",2017-10-20,50.6106659419762,62,NA,NA,NA
"408",2017-10-27,54.0711888572753,54,NA,NA,NA
"409",2017-11-03,49.3317751319227,40,NA,NA,NA
"410",2017-11-10,54.0006668523069,47,NA,NA,NA
"411",2017-11-17,51.4757892906248,48,NA,NA,NA
"412",2017-11-24,51.5540052431923,50,NA,NA,NA
"413",2017-12-01,55.1336042880486,56,NA,NA,NA
"414",2017-12-08,50.2124322253208,58,NA,NA,NA
"415",2017-12-15,56.6843290888522,39,NA,NA,NA
"416",2017-12-22,43.6719653196065,52,NA,NA,NA
"417",2017-12-29,39.869489506694,37.5,NA,NA,NA
"418",2018-01-05,49.2154588899691,37.5,NA,NA,NA
"419",2018-01-12,53.2536734217128,73,NA,NA,NA
"420",2018-01-19,53.3197679172709,59,NA,NA,NA
"421",2018-01-26,48.9262614507656,50,NA,NA,NA
"422",2018-02-02,53.4408902469571,41,NA,NA,NA
"423",2018-02-09,51.6029552929651,45,NA,NA,NA
"424",2018-02-16,51.225442541095,48,NA,NA,NA
"425",2018-02-23,48.6689823086,26,NA,NA,NA
"426",2018-03-02,45.4963342369303,45,NA,NA,NA
"427",2018-03-09,47.1933862166683,47,NA,NA,NA
"428",2018-03-16,53.1031701902803,47,NA,NA,NA
"429",2018-03-23,48.6183860938438,46,NA,NA,NA
"430",2018-03-30,48.835932407572,43,NA,NA,NA
"431",2018-04-06,51.9586728048745,46,NA,NA,NA
"432",2018-04-13,47.9867165268878,36,NA,NA,NA
"433",2018-04-20,51.3254286396699,54,NA,NA,NA
"434",2018-04-27,51.0617603364021,57,NA,NA,NA
"435",2018-05-04,49.0928068942829,51,NA,NA,NA
"436",2018-05-11,52.2221560163995,48,NA,NA,NA
"437",2018-05-18,52.2552629324189,52,NA,NA,NA
"438",2018-05-25,51.0885970369851,60,NA,NA,NA
"439",2018-06-01,42.5139998345165,46,NA,NA,NA
"440",2018-06-08,55.3363000299379,46,NA,NA,NA
"441",2018-06-15,50.3669096983363,60,NA,NA,NA
"442",2018-06-22,49.7889457451404,55,NA,NA,NA
"443",2018-06-29,46.706343861033,43,NA,NA,NA
"444",2018-07-06,48.0270406888411,50,NA,NA,NA
"445",2018-07-13,47.7459815477929,48,NA,NA,NA
"446",2018-07-20,53.2646963258077,45,NA,NA,NA
"447",2018-07-27,48.0907668304551,59,NA,NA,NA
"448",2018-08-03,53.207127923673,62,NA,NA,NA
"449",2018-08-10,51.1156632044521,59,NA,NA,NA
"450",2018-08-17,54.217181285341,64,NA,NA,NA
"451",2018-08-24,44.9099924836877,44,NA,NA,NA
"452",2018-08-31,46.003613591519,51,NA,NA,NA
"453",2018-09-07,51.3927878266378,45,NA,NA,NA
"454",2018-09-14,50.7876517565524,55,NA,NA,NA
"455",2018-09-21,52.5787666216564,69,NA,NA,NA
"456",2018-09-28,52.4552662971716,50,NA,NA,NA
"457",2018-10-05,54.6339512033327,40,NA,NA,NA
"458",2018-10-12,50.7256605861792,47,NA,NA,NA
"459",2018-10-19,49.2206858731694,43,NA,NA,NA
"460",2018-10-26,52.7212476811584,65,NA,NA,NA
"461",2018-11-02,48.0108811813322,46,NA,NA,NA
"462",2018-11-09,52.7023044014998,44,NA,NA,NA
"463",2018-11-16,50.2014728272661,47,NA,NA,NA
"464",2018-11-23,50.3034906207536,62,NA,NA,NA
"465",2018-11-30,53.895098312992,58,NA,NA,NA
"466",2018-12-07,48.9830525697647,45,NA,NA,NA
"467",2018-12-14,55.4745518141229,51,NA,NA,NA
"468",2018-12-21,42.4700334891292,41,NA,NA,NA
"469",2018-12-28,38.6841235752974,32.5,NA,NA,NA
"470",2019-01-04,48.0500539497785,32.5,NA,NA,NA
"471",2019-01-11,52.1116423304903,50,NA,NA,NA
"472",2019-01-18,52.2205646558645,59,NA,NA,NA
"473",2019-01-25,47.8689077087345,42,NA,NA,NA
"474",2019-02-01,52.4315651028746,57,NA,NA,NA
"475",2019-02-08,50.6265201451171,54,NA,NA,NA
"476",2019-02-15,50.2730181848714,49,NA,NA,NA
"477",2019-02-22,47.73883105162,59,NA,NA,NA
"478",2019-03-01,44.5582576414763,52,NA,NA,NA
"479",2019-03-08,46.2403192534733,45,NA,NA,NA
"480",2019-03-15,52.1360446483559,57,NA,NA,NA
