"","Week.number","Week.ended","Total.deaths..all.ages","All.Under.1.year","All.01.14","All.15.44","All.45.64","All.65.74","All.75.84","All.85.","Male.Under.1.year","Male.01.14","Male.15.44","Male.45.64","Male.65.74","Male.75.84","Male.85.","Female.Under.1.year","Female.01.14","Female.15.44","Female.45.64","Female.65.74","Female.75.84","Female.85.","North.East","North.West","Yorkshire.and.The.Humber","East.Midlands","West.Midlands","East","London","South.East","South.West","Wales"
"1",1,2010-01-08,12968,61,24,299,1570,2049,3952,5012,25,9,184,894,1214,2004,1683,36,15,115,676,835,1948,3329,648,1686,1317,1091,1370,1412,1226,1904,1395,879
"2",2,2010-01-15,12541,69,29,331,1465,1860,3883,4902,40,17,214,895,1082,1925,1719,29,12,117,570,778,1958,3183,612,1772,1163,1098,1258,1263,1262,1981,1354,758
"3",3,2010-01-22,11762,66,18,347,1392,1781,3501,4654,35,9,219,826,1045,1755,1609,31,9,128,566,736,1746,3045,550,1576,1133,963,1216,1174,1186,1877,1294,774
"4",4,2010-01-29,11056,68,21,336,1300,1666,3359,4305,39,9,222,770,976,1687,1458,29,12,114,530,690,1672,2847,555,1495,1031,938,1106,1143,1093,1856,1150,663
"5",5,2010-02-05,10524,72,18,317,1308,1588,3123,4089,32,11,203,764,914,1635,1441,40,7,114,544,674,1488,2648,556,1385,987,874,1097,1156,1035,1576,1147,688
"6",6,2010-02-12,10117,79,28,308,1239,1596,3002,3864,45,14,200,753,963,1611,1346,34,14,108,486,633,1391,2518,553,1402,941,858,1024,1032,1049,1547,1070,622
"7",7,2010-02-19,10102,71,17,329,1276,1560,3015,3834,40,3,216,760,927,1521,1373,31,14,113,516,633,1494,2461,521,1371,960,802,1029,1099,1031,1570,1069,636
"8",8,2010-02-26,10295,73,27,340,1315,1600,3106,3833,36,14,222,780,948,1551,1334,37,13,118,535,652,1555,2499,471,1363,1040,880,1020,1149,983,1594,1098,665
"9",9,2010-03-05,9981,55,31,348,1230,1547,3003,3765,33,16,235,743,940,1529,1288,22,15,113,487,607,1474,2477,535,1417,952,778,1060,1064,917,1580,1041,623
"10",10,2010-03-12,9792,45,28,334,1259,1552,2917,3653,27,20,214,726,912,1446,1297,18,8,120,533,640,1471,2356,512,1390,984,800,941,1074,960,1457,1042,607
"11",11,2010-03-19,9729,53,24,294,1307,1572,2895,3581,34,14,189,775,922,1468,1247,19,10,105,532,650,1427,2334,529,1316,965,820,993,1005,979,1466,1015,617
"12",12,2010-03-26,9631,61,32,303,1227,1566,2870,3554,37,17,185,725,923,1488,1205,24,15,118,502,643,1382,2349,498,1292,965,792,970,1039,920,1484,1066,591
"13",13,2010-04-02,8004,50,16,230,1035,1256,2385,2971,28,8,144,614,749,1236,1067,22,8,86,421,507,1149,1904,394,1130,768,682,874,814,731,1174,921,501
"14",14,2010-04-09,9756,66,19,288,1242,1603,2958,3553,35,9,176,764,949,1538,1276,31,10,112,478,654,1420,2277,517,1357,937,850,1010,1002,981,1473,991,608
"15",15,2010-04-16,9892,63,21,321,1276,1646,3058,3496,38,8,196,780,968,1611,1193,25,13,125,496,678,1447,2303,516,1369,995,794,998,1068,950,1476,1056,639
"16",16,2010-04-23,9449,66,31,333,1243,1525,2821,3429,35,16,229,757,898,1494,1200,31,15,104,486,627,1327,2229,486,1328,880,782,971,1048,918,1438,1019,557
"17",17,2010-04-30,9503,59,19,325,1220,1564,2857,3458,33,12,220,740,912,1523,1196,26,7,105,480,652,1334,2262,516,1252,964,759,994,1021,916,1443,999,616
"18",18,2010-05-07,8343,59,13,240,1119,1379,2574,2955,32,8,148,667,818,1327,1092,27,5,92,452,561,1247,1863,444,1150,870,660,821,899,797,1252,872,555
"19",19,2010-05-14,9483,70,25,335,1262,1497,2973,3321,33,10,217,763,910,1511,1211,37,15,118,499,587,1462,2110,516,1276,944,812,935,937,963,1463,1055,565
"20",20,2010-05-21,9190,71,22,356,1165,1525,2689,3361,35,12,232,686,888,1375,1179,36,10,124,479,637,1314,2182,502,1248,896,757,930,964,916,1401,965,591
"21",21,2010-05-28,9452,78,26,352,1205,1616,2861,3310,43,18,221,742,947,1480,1145,35,8,131,463,669,1381,2165,474,1292,983,782,962,1033,939,1415,978,563
"22",22,2010-06-04,8178,49,20,244,1080,1371,2416,2996,30,14,155,650,813,1209,1082,19,6,89,430,558,1207,1914,457,1145,827,661,807,845,848,1202,831,541
"23",23,2010-06-11,9259,46,14,303,1292,1527,2727,3350,30,5,197,780,870,1424,1222,16,9,106,512,657,1303,2128,539,1268,902,795,931,962,908,1413,927,591
"24",24,2010-06-18,8513,72,18,291,1182,1497,2530,2923,32,10,189,716,860,1327,1121,40,8,102,466,637,1203,1802,450,1118,834,664,894,908,812,1299,988,525
"25",25,2010-06-25,8461,57,15,311,1145,1437,2502,2994,37,6,211,686,835,1283,1050,20,9,100,459,602,1219,1944,464,1157,863,715,894,897,805,1283,848,510
"26",26,2010-07-02,8973,58,22,279,1161,1497,2644,3306,31,9,179,720,897,1296,1149,27,13,100,441,600,1348,2157,446,1236,851,734,924,920,887,1425,939,592
"27",27,2010-07-09,8627,61,20,313,1203,1376,2688,2964,34,14,207,731,835,1430,1053,27,6,106,472,541,1258,1911,507,1163,814,694,855,886,861,1315,950,555
"28",28,2010-07-16,8541,74,26,291,1174,1404,2582,2988,36,15,197,734,804,1353,1067,38,11,94,440,600,1229,1921,444,1153,829,753,867,851,900,1285,862,573
"29",29,2010-07-23,8261,55,19,302,1200,1359,2533,2791,33,8,195,722,808,1338,991,22,11,107,478,551,1195,1800,442,1108,857,685,837,901,852,1154,875,528
"30",30,2010-07-30,8257,68,15,289,1075,1377,2464,2965,40,7,191,636,796,1288,1008,28,8,98,439,581,1176,1957,453,1155,858,629,869,882,777,1187,873,552
"31",31,2010-08-06,8467,61,17,355,1211,1434,2557,2828,28,10,224,700,834,1344,1018,33,7,131,511,600,1213,1810,479,1110,849,647,894,883,826,1303,906,538
"32",32,2010-08-13,8318,62,20,327,1086,1386,2478,2958,38,6,213,635,801,1258,1031,24,14,114,451,585,1220,1927,417,1138,844,696,893,847,783,1292,874,510
"33",33,2010-08-20,8584,46,20,280,1144,1425,2604,3063,26,8,169,683,852,1372,1039,20,12,111,461,573,1232,2024,447,1169,850,721,905,840,882,1280,939,526
"34",34,2010-08-27,8635,58,13,278,1160,1462,2531,3123,28,11,193,684,872,1319,1120,30,2,85,476,590,1212,2003,471,1187,895,675,901,898,817,1307,938,511
"35",35,2010-09-03,7708,52,13,249,1045,1292,2316,2741,26,7,159,623,765,1177,1005,26,6,90,422,527,1139,1736,407,1081,788,626,784,784,740,1151,817,514
"36",36,2010-09-10,8961,54,22,322,1176,1539,2684,3164,33,11,210,716,906,1373,1097,21,11,112,460,633,1311,2067,446,1313,866,784,877,897,838,1372,992,531
"37",37,2010-09-17,8727,68,21,320,1206,1476,2534,3093,37,13,215,746,885,1334,1077,31,8,105,460,591,1200,2016,442,1256,830,736,856,891,880,1348,933,508
"38",38,2010-09-24,8943,67,19,317,1131,1455,2651,3299,30,14,227,685,828,1303,1171,37,5,90,446,627,1348,2128,468,1137,907,819,920,949,858,1364,930,567
"39",39,2010-10-01,8759,68,23,282,1160,1440,2564,3218,43,10,185,676,837,1319,1128,25,13,97,484,603,1245,2090,448,1252,885,698,892,898,852,1294,934,579
"40",40,2010-10-08,9195,66,24,315,1214,1455,2785,3334,38,17,204,731,839,1401,1191,28,7,111,483,616,1384,2143,501,1265,853,744,931,967,955,1448,937,580
"41",41,2010-10-15,9218,70,28,307,1315,1467,2703,3328,35,18,202,807,869,1412,1222,35,10,105,508,598,1291,2106,485,1239,907,737,988,993,898,1415,976,562
"42",42,2010-10-22,9286,46,22,318,1205,1495,2766,3433,23,15,200,706,881,1423,1215,23,7,118,499,614,1343,2218,506,1206,1002,744,936,990,894,1450,942,599
"43",43,2010-10-29,9275,55,23,323,1198,1462,2861,3350,27,10,207,738,873,1454,1190,28,13,116,460,589,1407,2160,519,1342,917,766,892,1012,944,1363,968,531
"44",44,2010-11-05,9668,66,21,318,1215,1581,2851,3616,38,15,204,731,928,1459,1295,28,6,114,484,653,1392,2321,491,1370,923,835,943,1043,961,1517,992,572
"45",45,2010-11-12,9406,58,16,307,1221,1507,2829,3468,28,12,203,710,898,1489,1239,30,4,104,511,609,1340,2229,514,1319,916,790,956,1031,900,1430,963,564
"46",46,2010-11-19,9437,55,11,319,1185,1540,2856,3471,32,7,208,701,900,1485,1212,23,4,111,484,640,1371,2259,498,1306,940,807,972,942,889,1452,1010,597
"47",47,2010-11-26,9473,57,23,307,1198,1502,2932,3454,32,12,203,713,896,1483,1244,25,11,104,485,606,1449,2210,463,1356,960,851,919,985,883,1440,987,605
"48",48,2010-12-03,9220,51,19,280,1199,1516,2764,3391,22,14,187,697,902,1413,1206,29,5,93,502,614,1351,2185,458,1343,888,750,1016,994,808,1293,1003,651
"49",49,2010-12-10,11193,59,29,338,1396,1736,3336,4298,38,15,212,854,1051,1762,1546,21,14,126,542,685,1574,2752,549,1413,1220,896,1114,1140,1107,1866,1170,695
"50",50,2010-12-17,10880,62,23,349,1466,1642,3193,4145,35,12,214,901,984,1642,1427,27,11,135,565,658,1551,2718,558,1509,1097,913,1121,1114,1015,1701,1143,690
"51",51,2010-12-24,11484,64,35,405,1463,1796,3465,4255,39,15,249,870,1037,1743,1471,25,20,156,593,759,1722,2784,616,1605,1098,971,1159,1233,1149,1717,1157,751
"52",52,2010-12-31,9689,40,21,218,1254,1514,2861,3778,24,13,132,744,874,1395,1339,16,8,86,510,640,1466,2439,527,1408,976,834,1036,950,965,1331,924,707
"53",1,2011-01-07,12644,54,30,306,1548,2017,3742,4945,24,18,190,929,1152,1870,1715,30,12,116,619,865,1872,3230,616,1662,1351,1135,1264,1323,1188,1911,1318,846
"54",2,2011-01-14,13133,59,32,378,1701,2014,3824,5119,35,16,242,984,1170,1901,1760,24,16,136,717,844,1923,3359,654,1797,1268,1158,1390,1282,1267,2089,1428,772
"55",3,2011-01-21,11438,56,18,388,1403,1764,3333,4476,34,8,246,839,1036,1660,1601,22,10,142,564,728,1673,2875,584,1555,1095,989,1193,1146,1067,1826,1320,638
"56",4,2011-01-28,10555,69,29,331,1363,1651,3072,4039,43,14,208,826,976,1593,1374,26,15,123,537,675,1479,2665,537,1429,1091,931,986,1085,1020,1704,1093,656
"57",5,2011-02-04,10235,44,19,327,1337,1664,2947,3897,31,7,206,767,975,1521,1368,13,12,121,570,689,1426,2529,556,1366,972,877,1066,1120,943,1559,1070,687
"58",6,2011-02-11,10019,69,18,302,1279,1631,2926,3793,39,12,203,756,939,1507,1411,30,6,99,523,692,1419,2382,526,1359,997,827,1062,1032,1010,1461,1042,679
"59",7,2011-02-18,9757,64,16,340,1283,1515,2957,3581,41,12,224,775,898,1523,1297,23,4,116,508,617,1434,2284,551,1343,992,843,974,986,927,1503,1011,609
"60",8,2011-02-25,9433,57,17,287,1213,1487,2813,3559,33,8,186,728,847,1424,1321,24,9,101,485,640,1389,2238,575,1366,941,756,961,947,873,1443,972,580
"61",9,2011-03-04,9453,60,27,286,1274,1495,2814,3497,37,15,168,761,881,1450,1265,23,12,118,513,614,1364,2232,498,1329,864,789,957,991,900,1515,999,590
"62",10,2011-03-11,9648,66,21,299,1213,1624,2858,3567,44,10,196,736,977,1477,1228,22,11,103,477,647,1381,2339,526,1295,970,815,964,971,946,1461,1051,630
"63",11,2011-03-18,9842,63,29,304,1260,1519,2995,3671,40,11,198,734,925,1524,1352,23,18,106,526,594,1471,2319,533,1279,969,809,1060,1075,953,1523,1018,593
"64",12,2011-03-25,9707,75,24,312,1179,1545,2935,3626,45,13,218,707,892,1477,1323,30,11,94,472,653,1458,2303,496,1291,1023,790,943,1034,893,1519,1062,633
"65",13,2011-04-01,9312,55,35,264,1226,1529,2774,3428,31,18,167,752,855,1415,1197,24,17,97,474,674,1359,2231,496,1322,937,762,972,967,863,1425,974,574
"66",14,2011-04-08,9557,70,25,289,1245,1579,2828,3518,35,16,197,715,931,1484,1271,35,9,92,530,648,1344,2247,478,1310,946,801,958,1073,931,1481,991,566
"67",15,2011-04-15,9327,76,27,312,1205,1562,2743,3401,42,13,207,731,936,1426,1207,34,14,105,474,626,1317,2194,493,1305,950,772,915,963,923,1402,1010,573
"68",16,2011-04-22,8335,59,19,239,1057,1328,2500,3130,30,10,154,634,808,1305,1117,29,9,85,423,520,1195,2013,411,1171,841,714,839,863,801,1268,859,535
"69",17,2011-04-29,8064,46,20,257,997,1306,2427,3009,24,11,165,590,749,1233,1091,22,9,92,407,557,1194,1918,429,1104,841,726,764,828,784,1161,845,565
"70",18,2011-05-06,9853,66,19,315,1302,1598,2953,3600,41,11,205,787,906,1580,1298,25,8,110,515,692,1373,2302,543,1324,1009,805,1028,997,923,1479,1069,654
"71",19,2011-05-13,10140,85,19,352,1358,1665,2964,3697,45,9,241,824,961,1528,1309,40,10,111,534,704,1436,2388,504,1328,985,848,968,1108,907,1716,1128,616
"72",20,2011-05-20,8949,70,20,291,1191,1507,2722,3146,39,11,193,722,882,1466,1126,31,9,98,469,625,1256,2020,496,1276,879,678,921,929,815,1414,936,577
"73",21,2011-05-27,9163,62,21,302,1233,1516,2671,3357,36,14,197,735,874,1387,1191,26,7,105,498,642,1284,2166,511,1302,890,721,946,959,884,1393,942,583
"74",22,2011-06-03,7913,53,17,255,1050,1290,2350,2896,29,6,145,624,742,1227,1058,24,11,110,426,548,1123,1838,441,1044,826,682,807,804,776,1161,807,544
"75",23,2011-06-10,9254,60,23,325,1197,1517,2729,3400,41,13,216,725,933,1422,1251,19,10,109,472,584,1307,2149,457,1250,899,739,895,1015,868,1468,1031,601
"76",24,2011-06-17,8961,69,18,296,1227,1468,2626,3256,39,8,183,713,886,1412,1197,30,10,113,514,582,1214,2059,472,1306,889,708,899,941,852,1378,982,512
"77",25,2011-06-24,8715,59,19,290,1126,1398,2682,3131,38,12,180,665,851,1372,1123,21,7,110,461,547,1310,2008,435,1142,853,738,952,888,825,1342,969,544
"78",26,2011-07-01,8710,63,10,323,1131,1497,2423,3262,41,6,208,673,899,1278,1176,22,4,115,458,598,1145,2086,479,1215,872,707,867,937,880,1304,899,526
"79",27,2011-07-08,8705,64,21,301,1155,1474,2570,3119,39,9,193,688,874,1320,1132,25,12,108,467,600,1250,1987,458,1215,850,731,936,883,843,1282,901,579
"80",28,2011-07-15,8461,40,13,258,1163,1367,2571,3049,23,10,159,694,789,1322,1079,17,3,99,469,578,1249,1970,432,1159,851,684,886,924,855,1243,857,538
"81",29,2011-07-22,8500,66,21,305,1168,1378,2539,3023,39,13,199,668,808,1309,1100,27,8,106,500,570,1230,1923,488,1139,847,674,884,871,814,1293,932,529
"82",30,2011-07-29,8456,62,25,260,1118,1452,2466,3072,44,14,166,648,846,1282,1130,18,11,94,470,606,1184,1942,469,1190,851,684,851,894,801,1235,932,526
"83",31,2011-08-05,8787,52,19,297,1182,1433,2650,3153,31,13,196,701,838,1356,1138,21,6,101,481,595,1294,2015,480,1235,861,746,822,907,858,1368,931,547
"84",32,2011-08-12,8573,61,12,272,1174,1430,2617,3007,38,8,170,719,818,1378,1074,23,4,102,455,612,1239,1933,483,1212,819,687,913,888,860,1276,900,515
"85",33,2011-08-19,8426,65,10,291,1119,1387,2473,3079,33,4,194,668,811,1296,1118,32,6,97,451,576,1177,1961,453,1146,819,643,856,920,873,1267,930,491
"86",34,2011-08-26,8466,77,12,287,1133,1366,2544,3045,49,8,179,688,825,1373,1128,28,4,108,445,541,1171,1917,417,1150,873,735,821,849,869,1247,915,563
"87",35,2011-09-02,7717,53,17,254,1018,1222,2369,2783,29,10,154,608,724,1237,1010,24,7,100,410,498,1132,1773,395,1092,765,606,813,776,735,1220,825,471
"88",36,2011-09-09,8769,52,17,249,1149,1462,2659,3179,28,8,160,680,859,1391,1177,24,9,89,469,603,1268,2002,481,1161,890,739,908,896,852,1283,950,580
"89",37,2011-09-16,8612,53,27,279,1159,1401,2536,3157,32,19,180,707,812,1310,1184,21,8,99,452,589,1226,1973,430,1121,902,703,897,927,860,1363,877,505
"90",38,2011-09-23,8527,53,20,309,1107,1371,2509,3157,32,15,182,645,818,1338,1157,21,5,127,462,553,1171,2000,445,1119,877,716,819,899,852,1329,942,506
"91",39,2011-09-30,8919,54,22,302,1172,1512,2563,3294,30,12,185,712,877,1353,1200,24,10,117,460,635,1210,2094,487,1229,912,727,873,959,888,1377,902,544
"92",40,2011-10-07,8719,65,16,268,1065,1422,2634,3249,38,13,166,615,822,1333,1144,27,3,102,450,600,1301,2105,437,1216,895,722,839,923,862,1314,923,567
"93",41,2011-10-14,8705,69,18,288,1202,1425,2510,3192,30,10,193,696,855,1298,1143,39,8,95,506,570,1212,2049,480,1169,860,745,862,914,882,1359,909,511
"94",42,2011-10-21,8638,68,16,264,1130,1460,2565,3121,44,9,178,686,853,1380,1129,24,7,86,444,607,1185,1992,437,1150,881,685,921,857,795,1394,935,557
"95",43,2011-10-28,9139,55,17,306,1195,1411,2637,3512,32,12,200,728,840,1342,1281,23,5,106,467,571,1295,2231,516,1267,935,775,928,961,847,1369,916,604
"96",44,2011-11-04,9640,61,20,285,1262,1537,2798,3677,34,15,192,722,898,1461,1288,27,5,93,540,639,1337,2389,507,1301,1039,838,945,1017,936,1391,1027,617
"97",45,2011-11-11,9042,56,30,288,1149,1527,2721,3271,30,18,187,698,887,1420,1184,26,12,101,451,640,1301,2087,518,1244,855,769,932,927,868,1381,962,571
"98",46,2011-11-18,9305,64,15,312,1208,1496,2732,3475,35,10,190,699,871,1426,1180,29,5,122,509,625,1306,2295,495,1310,910,768,970,984,859,1452,987,554
"99",47,2011-11-25,9166,61,16,274,1158,1490,2696,3466,39,10,174,696,896,1352,1243,22,6,100,462,594,1344,2223,462,1238,907,787,907,938,878,1405,1013,599
"100",48,2011-12-02,9203,56,22,287,1209,1533,2642,3454,24,14,183,728,884,1308,1232,32,8,104,481,649,1334,2222,496,1229,949,745,991,990,845,1432,925,591
"101",49,2011-12-09,9828,52,21,308,1268,1530,2850,3799,33,13,199,776,909,1488,1366,19,8,109,492,621,1362,2433,529,1360,1013,827,940,1015,995,1532,991,602
"102",50,2011-12-16,10348,74,12,314,1243,1673,3128,3903,49,8,189,747,992,1610,1413,25,4,125,496,681,1518,2490,543,1449,1029,849,1068,1080,1022,1547,1116,623
"103",51,2011-12-23,11151,79,25,327,1268,1822,3229,4394,45,13,218,798,1074,1664,1589,34,12,109,470,748,1565,2805,620,1518,1080,949,1120,1213,1061,1696,1179,680
"104",52,2011-12-30,8472,48,22,176,915,1309,2591,3411,29,14,107,530,763,1342,1221,19,8,69,385,546,1249,2190,443,1250,891,709,846,881,844,1162,870,554
"105",1,2012-01-06,10514,48,19,181,1255,1570,3140,4280,22,11,95,723,907,1608,1513,26,8,86,532,663,1532,2767,520,1442,1069,852,1002,1127,1096,1584,1139,660
"106",2,2012-01-13,11343,61,17,282,1370,1795,3372,4393,29,9,170,784,1024,1749,1516,32,8,112,586,771,1623,2877,611,1452,1150,922,1165,1189,1099,1836,1177,707
"107",3,2012-01-20,10393,48,17,279,1204,1601,3047,4197,31,11,180,727,922,1570,1478,17,6,99,477,679,1477,2719,546,1429,1093,869,1038,1050,974,1652,1088,635
"108",4,2012-01-27,10320,45,28,285,1240,1626,3008,4088,29,14,184,733,977,1575,1440,16,14,101,507,649,1433,2648,556,1377,1074,871,1077,1047,993,1569,1095,644
"109",5,2012-02-03,10117,52,26,280,1245,1531,2939,4044,34,11,167,739,883,1513,1481,18,15,113,506,648,1426,2563,507,1382,1010,856,1046,1105,1020,1507,1083,586
"110",6,2012-02-10,10287,50,18,312,1237,1650,2942,4077,28,12,210,737,960,1540,1477,22,6,102,500,690,1402,2600,493,1354,1039,890,1043,1088,1032,1597,1116,622
"111",7,2012-02-17,10532,53,16,290,1164,1639,3118,4252,30,11,186,683,950,1601,1570,23,5,104,481,689,1517,2682,533,1430,1037,857,1015,1102,1127,1668,1117,628
"112",8,2012-02-24,11086,75,14,320,1220,1667,3234,4551,47,12,224,701,967,1622,1696,28,2,96,519,700,1612,2855,563,1465,1086,935,1086,1204,1159,1787,1148,630
"113",9,2012-03-02,10945,55,22,278,1310,1614,3286,4374,33,15,183,767,951,1686,1524,22,7,95,543,663,1600,2850,504,1417,1085,868,1128,1182,1149,1738,1171,668
"114",10,2012-03-09,10507,57,16,318,1185,1585,3074,4270,34,8,225,685,907,1600,1489,23,8,93,500,678,1474,2781,533,1419,1006,856,1099,1155,1002,1652,1089,679
"115",11,2012-03-16,10041,58,18,270,1238,1485,2990,3982,35,13,165,741,867,1551,1444,23,5,105,497,618,1439,2538,478,1300,1031,867,985,1065,1002,1645,1043,610
"116",12,2012-03-23,9864,67,34,296,1256,1526,2877,3806,40,17,193,738,893,1476,1378,27,17,103,518,633,1401,2428,507,1315,985,804,961,1094,941,1545,1052,637
"117",13,2012-03-30,9634,61,21,290,1170,1541,2769,3779,39,13,197,711,885,1421,1382,22,8,93,459,656,1348,2397,487,1363,892,830,935,1036,935,1516,1029,593
"118",14,2012-04-06,8520,50,23,301,1072,1314,2478,3281,32,12,192,642,788,1295,1152,18,11,109,430,526,1183,2129,450,1181,827,739,827,880,817,1326,857,596
"119",15,2012-04-13,9992,65,26,278,1155,1639,2959,3870,35,15,178,659,978,1509,1375,30,11,100,496,661,1450,2495,512,1445,969,829,972,1097,967,1488,1030,662
"120",16,2012-04-20,10816,72,18,306,1313,1732,3231,4135,46,12,175,783,981,1663,1505,26,6,131,530,751,1568,2630,584,1496,1034,913,1136,1153,977,1673,1183,644
"121",17,2012-04-27,10238,60,21,288,1227,1607,2986,4048,34,12,177,713,961,1583,1416,26,9,111,514,646,1403,2632,556,1306,1024,879,1051,1108,942,1597,1092,655
"122",18,2012-05-04,9957,60,25,301,1171,1615,2936,3847,32,14,200,686,952,1502,1347,28,11,101,485,663,1434,2500,538,1392,964,852,1070,1066,903,1487,1051,609
"123",19,2012-05-11,8868,54,16,241,1063,1370,2652,3461,36,5,137,635,802,1374,1250,18,11,104,428,568,1278,2211,441,1255,820,786,876,950,844,1378,909,590
"124",20,2012-05-18,9913,67,23,306,1212,1643,2891,3761,40,13,205,713,967,1496,1394,27,10,101,499,676,1395,2367,505,1347,1012,805,1090,1027,907,1457,1094,636
"125",21,2012-05-25,9602,58,26,273,1177,1622,2839,3607,37,16,175,701,937,1474,1259,21,10,98,476,685,1365,2348,505,1383,933,747,965,1007,924,1497,1019,603
"126",22,2012-06-01,9602,60,23,303,1190,1542,2873,3606,34,13,209,718,862,1538,1250,26,10,94,472,680,1335,2356,514,1310,978,783,945,1026,888,1478,1051,605
"127",23,2012-06-08,6781,42,9,185,846,1130,2021,2548,20,6,98,485,649,1030,915,22,3,87,361,481,991,1633,362,984,714,557,647,660,663,953,733,489
"128",24,2012-06-15,10170,80,16,300,1217,1794,3063,3700,42,6,197,712,1034,1602,1354,38,10,103,505,760,1461,2346,539,1360,1000,853,1116,1082,961,1515,1090,630
"129",25,2012-06-22,9054,53,17,289,1147,1527,2658,3363,21,5,190,674,862,1370,1229,32,12,99,473,665,1288,2134,482,1255,861,757,960,942,827,1441,950,559
"130",26,2012-06-29,8856,56,16,256,1130,1464,2594,3339,33,9,168,677,847,1363,1238,23,7,88,453,617,1231,2101,508,1203,894,810,896,931,835,1297,955,509
"131",27,2012-07-06,8909,64,17,266,1098,1521,2633,3306,41,12,192,645,898,1362,1188,23,5,74,453,623,1271,2118,478,1184,923,738,927,975,796,1365,933,573
"132",28,2012-07-13,8754,57,16,260,1123,1493,2571,3233,31,6,180,657,880,1338,1217,26,10,80,466,613,1233,2016,441,1218,828,738,898,944,865,1254,973,572
"133",29,2012-07-20,8684,47,26,292,1124,1495,2538,3162,29,15,182,676,854,1255,1192,18,11,110,448,641,1283,1970,459,1217,889,730,909,815,827,1311,943,567
"134",30,2012-07-27,8877,69,15,283,1157,1500,2557,3295,40,7,194,673,896,1326,1177,29,8,89,484,604,1231,2118,496,1204,937,718,896,930,872,1291,946,558
"135",31,2012-08-03,8942,56,13,271,1153,1527,2590,3331,31,8,178,675,893,1331,1147,25,5,93,478,634,1259,2184,480,1212,844,767,868,964,829,1401,971,576
"136",32,2012-08-10,8810,70,38,249,1124,1447,2564,3316,43,19,158,677,850,1339,1213,27,19,91,447,597,1225,2103,469,1215,871,746,935,889,808,1336,968,548
"137",33,2012-08-17,8776,54,14,268,1108,1446,2611,3274,21,9,167,654,844,1354,1190,33,5,101,454,602,1257,2084,452,1138,872,707,909,962,807,1335,962,604
"138",34,2012-08-24,8977,62,19,283,1144,1515,2618,3336,28,8,160,690,928,1329,1200,34,11,123,454,587,1289,2136,460,1211,917,749,937,1001,844,1342,936,553
"139",35,2012-08-31,7617,62,13,243,952,1293,2288,2766,36,8,155,576,767,1211,1029,26,5,88,376,526,1077,1737,397,1075,793,634,812,790,734,1088,793,478
"140",36,2012-09-07,8848,62,20,243,1164,1418,2596,3345,36,17,155,671,830,1328,1198,26,3,88,493,588,1268,2147,450,1233,853,764,954,933,829,1304,974,534
"141",37,2012-09-14,8641,63,19,259,1106,1476,2486,3231,31,13,181,688,893,1301,1228,32,6,78,418,583,1185,2003,475,1178,940,735,897,858,799,1319,902,511
"142",38,2012-09-21,8839,56,15,319,1173,1474,2548,3253,27,7,209,713,840,1338,1166,29,8,110,460,634,1210,2087,518,1268,882,725,878,893,811,1305,997,538
"143",39,2012-09-28,8865,59,16,246,1094,1495,2624,3330,37,13,147,642,920,1393,1217,22,3,99,452,575,1231,2113,468,1223,891,712,902,918,830,1343,942,615
"144",40,2012-10-05,9070,66,16,234,1122,1508,2639,3483,37,13,153,670,896,1411,1296,29,3,81,452,612,1228,2187,471,1299,858,714,914,920,855,1455,997,561
"145",41,2012-10-12,9441,52,11,270,1162,1489,2821,3636,27,4,176,692,858,1429,1310,25,7,94,470,631,1392,2326,467,1298,940,765,965,987,887,1475,1022,613
"146",42,2012-10-19,9284,57,24,245,1120,1535,2750,3553,39,16,159,644,910,1441,1283,18,8,86,476,625,1309,2270,510,1277,901,791,883,1018,897,1443,1003,543
"147",43,2012-10-26,9550,49,31,280,1149,1490,2842,3709,27,15,182,689,868,1462,1373,22,16,98,460,622,1380,2336,503,1355,948,794,990,970,920,1480,1001,574
"148",44,2012-11-02,9335,63,21,284,1158,1579,2666,3563,35,13,181,661,919,1335,1266,28,8,103,497,660,1331,2297,459,1348,928,753,951,973,898,1393,998,609
"149",45,2012-11-09,9683,66,25,304,1172,1556,2813,3746,38,15,193,696,887,1483,1364,28,10,111,476,669,1330,2382,459,1348,928,753,951,973,898,1393,998,609
"150",46,2012-11-16,9900,69,19,288,1197,1576,2863,3888,37,10,188,725,910,1480,1444,32,9,100,472,666,1383,2444,507,1370,954,763,1000,1007,926,1539,1015,586
"151",47,2012-11-23,9679,70,18,307,1203,1522,2765,3783,42,6,206,722,894,1458,1412,28,12,101,481,628,1307,2371,550,1276,1017,836,1022,1011,987,1496,1074,608
"152",48,2012-11-30,9394,58,19,268,1136,1551,2826,3532,30,8,172,693,905,1507,1285,28,11,96,443,646,1319,2247,539,1236,929,794,999,1059,956,1483,1031,629
"153",49,2012-12-07,9844,71,32,283,1219,1575,2888,3774,38,18,185,753,921,1519,1370,33,14,98,466,654,1369,2404,492,1321,897,765,958,971,901,1415,983,668
"154",50,2012-12-14,10388,60,23,334,1213,1628,3060,4068,39,11,221,692,947,1589,1539,21,12,113,521,681,1471,2529,543,1330,1017,827,1014,1003,899,1492,1048,650
"155",51,2012-12-21,11461,56,23,306,1315,1823,3343,4585,33,14,219,732,1043,1731,1655,23,9,87,583,780,1612,2930,584,1433,977,869,1085,1062,986,1610,1017,744
