"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2001","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"   18.0","40305.0"," 8343.0"," 9378.8"," 1144.0","   59.0","   13.0","  240.0"," 1119.0"," 1379.0"," 2574.0"," 2955.0","   32.0","    8.0","  148.0","  667.0","  818.0"," 1327.0"," 1092.0","   27.0","    5.0","   92.0","  452.0","  561.0"," 1247.0"," 1863.0","  444.0"," 1150.0","  870.0","  660.0","  821.0","  899.0","  797.0"," 1252.0","  872.0","  555.0"
"   19","40312"," 9483"," 9090"," 1214","   70","   25","  335"," 1262"," 1497"," 2973"," 3321","   33","   10","  217","  763","  910"," 1511"," 1211","   37","   15","  118","  499","  587"," 1462"," 2110","  516"," 1276","  944","  812","  935","  937","  963"," 1463"," 1055","  565"
"   20.0","40319.0"," 9190.0"," 9474.8"," 1164.0","   71.0","   22.0","  356.0"," 1165.0"," 1525.0"," 2689.0"," 3361.0","   35.0","   12.0","  232.0","  686.0","  888.0"," 1375.0"," 1179.0","   36.0","   10.0","  124.0","  479.0","  637.0"," 1314.0"," 2182.0","  502.0"," 1248.0","  896.0","  757.0","  930.0","  964.0","  916.0"," 1401.0","  965.0","  591.0"
"   21.0","40326.0"," 9452.0"," 9384.2"," 1315.0","   78.0","   26.0","  352.0"," 1205.0"," 1616.0"," 2861.0"," 3310.0","   43.0","   18.0","  221.0","  742.0","  947.0"," 1480.0"," 1145.0","   35.0","    8.0","  131.0","  463.0","  669.0"," 1381.0"," 2165.0","  474.0"," 1292.0","  983.0","  782.0","  962.0"," 1033.0","  939.0"," 1415.0","  978.0","  563.0"
"   22.0","40333.0"," 8178.0"," 8464.6"," 1057.0","   49.0","   20.0","  244.0"," 1080.0"," 1371.0"," 2416.0"," 2996.0","   30.0","   14.0","  155.0","  650.0","  813.0"," 1209.0"," 1082.0","   19.0","    6.0","   89.0","  430.0","  558.0"," 1207.0"," 1914.0","  457.0"," 1145.0","  827.0","  661.0","  807.0","  845.0","  848.0"," 1202.0","  831.0","  541.0"
"   23.0","40340.0"," 9259.0"," 9332.4"," 1191.0","   46.0","   14.0","  303.0"," 1292.0"," 1527.0"," 2727.0"," 3350.0","   30.0","    5.0","  197.0","  780.0","  870.0"," 1424.0"," 1222.0","   16.0","    9.0","  106.0","  512.0","  657.0"," 1303.0"," 2128.0","  539.0"," 1268.0","  902.0","  795.0","  931.0","  962.0","  908.0"," 1413.0","  927.0","  591.0"
"   24.0","40347.0"," 8513.0"," 9072.8","  988.0","   72.0","   18.0","  291.0"," 1182.0"," 1497.0"," 2530.0"," 2923.0","   32.0","   10.0","  189.0","  716.0","  860.0"," 1327.0"," 1121.0","   40.0","    8.0","  102.0","  466.0","  637.0"," 1203.0"," 1802.0","  450.0"," 1118.0","  834.0","  664.0","  894.0","  908.0","  812.0"," 1299.0","  988.0","  525.0"
"   25.0","40354.0"," 8461.0"," 9013.8","  984.0","   57.0","   15.0","  311.0"," 1145.0"," 1437.0"," 2502.0"," 2994.0","   37.0","    6.0","  211.0","  686.0","  835.0"," 1283.0"," 1050.0","   20.0","    9.0","  100.0","  459.0","  602.0"," 1219.0"," 1944.0","  464.0"," 1157.0","  863.0","  715.0","  894.0","  897.0","  805.0"," 1283.0","  848.0","  510.0"
"   26.0","40361.0"," 8973.0"," 8791.6"," 1135.0","   58.0","   22.0","  279.0"," 1161.0"," 1497.0"," 2644.0"," 3306.0","   31.0","    9.0","  179.0","  720.0","  897.0"," 1296.0"," 1149.0","   27.0","   13.0","  100.0","  441.0","  600.0"," 1348.0"," 2157.0","  446.0"," 1236.0","  851.0","  734.0","  924.0","  920.0","  887.0"," 1425.0","  939.0","  592.0"
"   27","40368"," 8627"," 8914"," 1074","   61","   20","  313"," 1203"," 1376"," 2688"," 2964","   34","   14","  207","  731","  835"," 1430"," 1053","   27","    6","  106","  472","  541"," 1258"," 1911","  507"," 1163","  814","  694","  855","  886","  861"," 1315","  950","  555"
"   28.0","40375.0"," 8541.0"," 8745.2","  978.0","   74.0","   26.0","  291.0"," 1174.0"," 1404.0"," 2582.0"," 2988.0","   36.0","   15.0","  197.0","  734.0","  804.0"," 1353.0"," 1067.0","   38.0","   11.0","   94.0","  440.0","  600.0"," 1229.0"," 1921.0","  444.0"," 1153.0","  829.0","  753.0","  867.0","  851.0","  900.0"," 1285.0","  862.0","  573.0"
"   29.0","40382.0"," 8261.0"," 8762.8","  878.0","   55.0","   19.0","  302.0"," 1200.0"," 1359.0"," 2533.0"," 2791.0","   33.0","    8.0","  195.0","  722.0","  808.0"," 1338.0","  991.0","   22.0","   11.0","  107.0","  478.0","  551.0"," 1195.0"," 1800.0","  442.0"," 1108.0","  857.0","  685.0","  837.0","  901.0","  852.0"," 1154.0","  875.0","  528.0"
"   30.0","40389.0"," 8257.0"," 8846.2","  903.0","   68.0","   15.0","  289.0"," 1075.0"," 1377.0"," 2464.0"," 2965.0","   40.0","    7.0","  191.0","  636.0","  796.0"," 1288.0"," 1008.0","   28.0","    8.0","   98.0","  439.0","  581.0"," 1176.0"," 1957.0","  453.0"," 1155.0","  858.0","  629.0","  869.0","  882.0","  777.0"," 1187.0","  873.0","  552.0"
"   31.0","40396.0"," 8467.0"," 8669.4","  906.0","   61.0","   17.0","  355.0"," 1211.0"," 1434.0"," 2557.0"," 2828.0","   28.0","   10.0","  224.0","  700.0","  834.0"," 1344.0"," 1018.0","   33.0","    7.0","  131.0","  511.0","  600.0"," 1213.0"," 1810.0","  479.0"," 1110.0","  849.0","  647.0","  894.0","  883.0","  826.0"," 1303.0","  906.0","  538.0"
"   32.0","40403.0"," 8318.0"," 8611.4","  914.0","   62.0","   20.0","  327.0"," 1086.0"," 1386.0"," 2478.0"," 2958.0","   38.0","    6.0","  213.0","  635.0","  801.0"," 1258.0"," 1031.0","   24.0","   14.0","  114.0","  451.0","  585.0"," 1220.0"," 1927.0","  417.0"," 1138.0","  844.0","  696.0","  893.0","  847.0","  783.0"," 1292.0","  874.0","  510.0"
"   33.0","40410.0"," 8584.0"," 8651.4"," 1046.0","   46.0","   20.0","  280.0"," 1144.0"," 1425.0"," 2604.0"," 3063.0","   26.0","    8.0","  169.0","  683.0","  852.0"," 1372.0"," 1039.0","   20.0","   12.0","  111.0","  461.0","  573.0"," 1232.0"," 2024.0","  447.0"," 1169.0","  850.0","  721.0","  905.0","  840.0","  882.0"," 1280.0","  939.0","  526.0"
"   34.0","40417.0"," 8635.0"," 8683.8","  962.0","   58.0","   13.0","  278.0"," 1160.0"," 1462.0"," 2531.0"," 3123.0","   28.0","   11.0","  193.0","  684.0","  872.0"," 1319.0"," 1120.0","   30.0","    2.0","   85.0","  476.0","  590.0"," 1212.0"," 2003.0","  471.0"," 1187.0","  895.0","  675.0","  901.0","  898.0","  817.0"," 1307.0","  938.0","  511.0"
"   35.0","40424.0"," 7708.0"," 8100.8","  888.0","   52.0","   13.0","  249.0"," 1045.0"," 1292.0"," 2316.0"," 2741.0","   26.0","    7.0","  159.0","  623.0","  765.0"," 1177.0"," 1005.0","   26.0","    6.0","   90.0","  422.0","  527.0"," 1139.0"," 1736.0","  407.0"," 1081.0","  788.0","  626.0","  784.0","  784.0","  740.0"," 1151.0","  817.0","  514.0"
"   36.0","40431.0"," 8961.0"," 8596.4"," 1032.0","   54.0","   22.0","  322.0"," 1176.0"," 1539.0"," 2684.0"," 3164.0","   33.0","   11.0","  210.0","  716.0","  906.0"," 1373.0"," 1097.0","   21.0","   11.0","  112.0","  460.0","  633.0"," 1311.0"," 2067.0","  446.0"," 1313.0","  866.0","  784.0","  877.0","  897.0","  838.0"," 1372.0","  992.0","  531.0"
"   37","40438"," 8727"," 8654"," 1003","   68","   21","  320"," 1206"," 1476"," 2534"," 3093","   37","   13","  215","  746","  885"," 1334"," 1077","   31","    8","  105","  460","  591"," 1200"," 2016","  442"," 1256","  830","  736","  856","  891","  880"," 1348","  933","  508"
"   38.0","40445.0"," 8943.0"," 8652.4"," 1012.0","   67.0","   19.0","  317.0"," 1131.0"," 1455.0"," 2651.0"," 3299.0","   30.0","   14.0","  227.0","  685.0","  828.0"," 1303.0"," 1171.0","   37.0","    5.0","   90.0","  446.0","  627.0"," 1348.0"," 2128.0","  468.0"," 1137.0","  907.0","  819.0","  920.0","  949.0","  858.0"," 1364.0","  930.0","  567.0"
"   39","40452"," 8759"," 8827"," 1068","   68","   23","  282"," 1160"," 1440"," 2564"," 3218","   43","   10","  185","  676","  837"," 1319"," 1128","   25","   13","   97","  484","  603"," 1245"," 2090","  448"," 1252","  885","  698","  892","  898","  852"," 1294","  934","  579"
"   40.0","40459.0"," 9195.0"," 8894.6"," 1183.0","   66.0","   24.0","  315.0"," 1214.0"," 1455.0"," 2785.0"," 3334.0","   38.0","   17.0","  204.0","  731.0","  839.0"," 1401.0"," 1191.0","   28.0","    7.0","  111.0","  483.0","  616.0"," 1384.0"," 2143.0","  501.0"," 1265.0","  853.0","  744.0","  931.0","  967.0","  955.0"," 1448.0","  937.0","  580.0"
"   41.0","40466.0"," 9218.0"," 9124.6"," 1188.0","   70.0","   28.0","  307.0"," 1315.0"," 1467.0"," 2703.0"," 3328.0","   35.0","   18.0","  202.0","  807.0","  869.0"," 1412.0"," 1222.0","   35.0","   10.0","  105.0","  508.0","  598.0"," 1291.0"," 2106.0","  485.0"," 1239.0","  907.0","  737.0","  988.0","  993.0","  898.0"," 1415.0","  976.0","  562.0"
"   42","40473"," 9286"," 9192"," 1232","   46","   22","  318"," 1205"," 1495"," 2766"," 3433","   23","   15","  200","  706","  881"," 1423"," 1215","   23","    7","  118","  499","  614"," 1343"," 2218","  506"," 1206"," 1002","  744","  936","  990","  894"," 1450","  942","  599"
"   43.0","40480.0"," 9275.0"," 9327.6"," 1194.0","   55.0","   23.0","  323.0"," 1198.0"," 1462.0"," 2861.0"," 3350.0","   27.0","   10.0","  207.0","  738.0","  873.0"," 1454.0"," 1190.0","   28.0","   13.0","  116.0","  460.0","  589.0"," 1407.0"," 2160.0","  519.0"," 1342.0","  917.0","  766.0","  892.0"," 1012.0","  944.0"," 1363.0","  968.0","  531.0"
"   44.0","40487.0"," 9668.0"," 9420.2"," 1306.0","   66.0","   21.0","  318.0"," 1215.0"," 1581.0"," 2851.0"," 3616.0","   38.0","   15.0","  204.0","  731.0","  928.0"," 1459.0"," 1295.0","   28.0","    6.0","  114.0","  484.0","  653.0"," 1392.0"," 2321.0","  491.0"," 1370.0","  923.0","  835.0","  943.0"," 1043.0","  961.0"," 1517.0","  992.0","  572.0"
"   45.0","40494.0"," 9406.0"," 9547.8"," 1274.0","   58.0","   16.0","  307.0"," 1221.0"," 1507.0"," 2829.0"," 3468.0","   28.0","   12.0","  203.0","  710.0","  898.0"," 1489.0"," 1239.0","   30.0","    4.0","  104.0","  511.0","  609.0"," 1340.0"," 2229.0","  514.0"," 1319.0","  916.0","  790.0","  956.0"," 1031.0","  900.0"," 1430.0","  963.0","  564.0"
"   46.0","40501.0"," 9437.0"," 9671.2"," 1224.0","   55.0","   11.0","  319.0"," 1185.0"," 1540.0"," 2856.0"," 3471.0","   32.0","    7.0","  208.0","  701.0","  900.0"," 1485.0"," 1212.0","   23.0","    4.0","  111.0","  484.0","  640.0"," 1371.0"," 2259.0","  498.0"," 1306.0","  940.0","  807.0","  972.0","  942.0","  889.0"," 1452.0"," 1010.0","  597.0"
"   47","40508"," 9473"," 9856"," 1250","   57","   23","  307"," 1198"," 1502"," 2932"," 3454","   32","   12","  203","  713","  896"," 1483"," 1244","   25","   11","  104","  485","  606"," 1449"," 2210","  463"," 1356","  960","  851","  919","  985","  883"," 1440","  987","  605"
"   48.0","40515.0"," 9220.0"," 9898.4"," 1215.0","   51.0","   19.0","  280.0"," 1199.0"," 1516.0"," 2764.0"," 3391.0","   22.0","   14.0","  187.0","  697.0","  902.0"," 1413.0"," 1206.0","   29.0","    5.0","   93.0","  502.0","  614.0"," 1351.0"," 2185.0","  458.0"," 1343.0","  888.0","  750.0"," 1016.0","  994.0","  808.0"," 1293.0"," 1003.0","  651.0"
"   49.0","40522.0","11193.0","10175.2"," 1586.0","   59.0","   29.0","  338.0"," 1396.0"," 1736.0"," 3336.0"," 4298.0","   38.0","   15.0","  212.0","  854.0"," 1051.0"," 1762.0"," 1546.0","   21.0","   14.0","  126.0","  542.0","  685.0"," 1574.0"," 2752.0","  549.0"," 1413.0"," 1220.0","  896.0"," 1114.0"," 1140.0"," 1107.0"," 1866.0"," 1170.0","  695.0"
"   50.0","40529.0","10880.0","10453.6"," 1674.0","   62.0","   23.0","  349.0"," 1466.0"," 1642.0"," 3193.0"," 4145.0","   35.0","   12.0","  214.0","  901.0","  984.0"," 1642.0"," 1427.0","   27.0","   11.0","  135.0","  565.0","  658.0"," 1551.0"," 2718.0","  558.0"," 1509.0"," 1097.0","  913.0"," 1121.0"," 1114.0"," 1015.0"," 1701.0"," 1143.0","  690.0"
"   51","40536","11484","10925"," 2000","   64","   35","  405"," 1463"," 1796"," 3465"," 4255","   39","   15","  249","  870"," 1037"," 1743"," 1471","   25","   20","  156","  593","  759"," 1722"," 2784","  616"," 1605"," 1098","  971"," 1159"," 1233"," 1149"," 1717"," 1157","  751"
"   52","40543"," 9689"," 8825"," 1916","   40","   21","  218"," 1254"," 1514"," 2861"," 3778","   24","   13","  132","  744","  874"," 1395"," 1339","   16","    8","   86","  510","  640"," 1466"," 2439","  527"," 1408","  976","  834"," 1036","  950","  965"," 1331","  924","  707"
